"","Zone","Region_Name","Aspect","number_fires","number_fires.aspect","mean_fs_BEC","mean_fs_BEC.aspect","min_fs_BEC","min_fs_BEC.aspect","max_fs_BEC","max_fs_BEC.aspect","FRI","FRI.aspect"
"67","Kootenay North","ESSFwmp","cool",2,2,19,18,0,0,60,60,300,279
"68","Kootenay North","ESSFwmp","warm",2,2,19,0,0,0,60,0,300,8100
"69","Kootenay North","ESSFwmw","cool",2,2,70,28,3,0,168,89,135,129
"70","Kootenay North","ESSFwmw","warm",2,2,70,26,3,0,168,78,135,147
"71","Kootenay North","ICHmk5","cool",6,6,119,74,7,0,495,432,540,540
"72","Kootenay North","ICHmk5","warm",6,6,119,23,7,0,495,63,540,675
"73","Kootenay North","IDFdm2","cool",2,2,5,3,3,3,6,3,Inf,Inf
"74","Kootenay North","IDFdm2","warm",2,1,5,3,3,3,6,3,Inf,Inf
"75","Kootenay North","IMAun","cool",11,11,19,15,0,0,177,146,176,193
"76","Kootenay North","IMAun","warm",11,6,19,4,0,0,177,31,176,63
"77","Kootenay North","MSdk","cool",39,38,292,258,0,0,7633,7523,324,300
"78","Kootenay North","MSdk","warm",39,28,292,10,0,0,7633,118,324,1157
"79","Kootenay North","MSdw","cool",4,4,88,52,0,0,272,268,810,736
"80","Kootenay North","MSdw","warm",4,4,88,1,0,0,272,5,810,4050
"81","Kootenay South","ESSFdk1","cool",53,53,191,123,0,0,3393,3293,352,368
"82","Kootenay South","ESSFdk1","warm",53,37,191,68,0,0,3393,1620,352,300
"83","Kootenay South","ESSFdk2","cool",6,6,81,40,0,0,375,335,476,476
"84","Kootenay South","ESSFdk2","warm",6,5,81,25,0,0,375,120,476,450
"85","Kootenay South","ESSFdkp","cool",6,6,7,7,0,0,33,33,4050,4050
"86","Kootenay South","ESSFdkw","cool",21,21,58,30,0,0,341,339,1012,1012
"87","Kootenay South","ESSFdkw","warm",21,16,58,22,0,0,341,96,1012,810
"88","Kootenay South","ESSFwh2","cool",10,10,121,67,0,0,1515,1167,368,368
"89","Kootenay South","ESSFwh2","warm",10,8,121,34,0,0,1515,340,368,352
"90","Kootenay South","ESSFwm1","cool",10,10,73,40,6,0,434,267,540,579
"91","Kootenay South","ESSFwm1","warm",10,10,73,17,6,0,434,155,540,476
"92","Kootenay South","ESSFwm2","cool",19,19,130,64,0,0,2760,2039,476,450
"93","Kootenay South","ESSFwm2","warm",19,18,130,33,0,0,2760,702,476,476
"94","Kootenay South","ESSFwm4","cool",63,62,202,80,0,0,6075,3734,300,300
"95","Kootenay South","ESSFwm4","warm",63,62,202,79,0,0,6075,2253,300,289
"96","Kootenay South","ESSFwmp","cool",15,15,25,20,0,0,211,210,1620,1620
"97","Kootenay South","ESSFwmp","warm",15,9,25,2,0,0,211,15,1620,1350
"98","Kootenay South","ESSFwmw","cool",42,42,53,21,0,0,1040,685,736,810
"99","Kootenay South","ESSFwmw","warm",42,37,53,23,0,0,1040,348,736,736
"100","Kootenay South","ICHdm","cool",80,80,113,103,0,0,1643,1587,405,405
"101","Kootenay South","ICHdm","warm",80,52,113,5,0,0,1643,83,405,352
"102","Kootenay South","ICHdw1","cool",12,12,103,101,0,0,703,700,1157,1012
"103","Kootenay South","ICHdw1","warm",12,7,103,4,0,0,703,12,1157,2700
"104","Kootenay South","ICHmk4","cool",6,6,162,52,1,0,480,282,324,386
"105","Kootenay South","ICHmk4","warm",6,6,162,81,1,0,480,233,324,279
"106","Kootenay South","ICHmw2","cool",2,2,1,1,0,0,2,2,Inf,Inf
"107","Kootenay South","ICHxw","cool",2,2,5,5,3,3,7,7,8100,8100
"108","Kootenay South","IDFdm2","cool",88,81,55,28,0,0,1189,505,2025,2700
"109","Kootenay South","IDFdm2","warm",88,71,55,27,0,0,1189,1061,2025,1157
"110","Kootenay South","IDFxk","cool",1,1,8,1,4,1,12,2,81,81
"111","Kootenay South","IDFxk","warm",1,1,8,7,4,4,12,10,81,81
"112","Kootenay South","IDFxx2","cool",122,122,31,22,0,0,455,413,900,900
"113","Kootenay South","IDFxx2","warm",122,84,31,7,0,0,455,69,900,736
"114","Kootenay South","MSdk","cool",2,2,28,12,17,0,39,32,1620,1350
"115","Kootenay South","MSdk","warm",2,2,28,4,17,2,39,6,1620,2025
"116","Kootenay South","MSdw","cool",65,65,165,123,0,0,5446,5216,405,405
"117","Kootenay South","MSdw","warm",65,51,165,21,0,0,5446,290,405,476
"118","Kootenay South","ESSFdkp","warm",6,NA,7,NA,0,NA,33,NA,4050,NA
"119","Kootenay South","ICHmw2","warm",2,NA,1,NA,0,NA,2,NA,Inf,NA
"120","Kootenay South","ICHxw","warm",2,NA,5,NA,3,NA,7,NA,8100,NA
"121","Kootenay South","IMAun","cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Kootenay South","IMAun","warm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Purcell","ESSFdk1","cool",6,4,414,47,1,0,1355,231,231,352
"124","Purcell","ESSFdk1","warm",6,6,414,356,1,1,1355,1102,231,213
"125","Purcell","ESSFdk2","cool",27,26,122,38,0,0,1002,342,1350,1350
"126","Purcell","ESSFdk2","warm",27,22,122,93,0,0,1002,736,1350,1350
"127","Purcell","ESSFdkp","cool",11,11,18,17,0,0,96,88,4050,4050
"128","Purcell","ESSFdkp","warm",11,2,18,2,0,0,96,4,4050,4050
