"","Scenario","Region","BEC","AREA","MIN","MAX","MEAN","MEDIAN"
"1","RCP4.5","Purcell","ICHmw2",3e+07,0.004,0.004,0.004,0.004
"2","RCP4.5","Purcell","IMAun",1e+07,0.003,0.003,0.003,0.003
"3","RCP4.5","Purcell","ESSFwmp",9e+07,0.004,0.004,0.004,0.004
"4","RCP4.5","Purcell","ESSFdkp",1e+08,0.005,0.005,0.005,0.005
"5","RCP4.5","Purcell","ESSFwh2",1e+08,0.004,0.004,0.004,0.004
"6","RCP4.5","Purcell","ESSFwm2",3e+08,0.003,0.003,0.003,0.003
"7","RCP4.5","Purcell","ESSFwmw",2e+08,0.004,0.005,0.005,0.005
"8","RCP4.5","Purcell","MSdk",4e+08,0.02,0.02,0.02,0.02
"9","RCP4.5","Purcell","ESSFdkw",4e+08,0.006,0.006,0.006,0.006
"10","RCP4.5","Purcell","MSdw",1e+08,0.02,0.02,0.02,0.02
"11","RCP4.5","Purcell","ESSFdk1",1e+08,0.009,0.009,0.009,0.009
"12","RCP4.5","Purcell","ICHdm",6e+07,0.01,0.01,0.01,0.01
"13","RCP4.5","Purcell","IDFdm2",8e+07,0.05,0.05,0.05,0.05
"14","RCP4.5","Purcell","ICHmk5",5e+07,0.02,0.02,0.02,0.02
"15","RCP4.5","Purcell","ESSFmmw",2e+08,0.002,0.002,0.002,0.002
"16","RCP4.5","Purcell","ESSFdk2",8e+08,0.007,0.008,0.008,0.008
"17","RCP4.5","Purcell","ESSFmm3",4e+08,0.003,0.004,0.004,0.004
"18","RCP4.5","Purcell","IDFxk",3e+05,0.05,0.05,0.05,0.05
"19","RCP4.5","Purcell","IDFdk5",8e+07,0.04,0.04,0.04,0.04
"20","RCP4.5","Purcell","ESSFmmp",7e+07,0.002,0.002,0.002,0.002
"21","RCP4.5","Kootenay South","ICHdm",1e+09,0.01,0.01,0.01,0.01
"22","RCP4.5","Kootenay South","ESSFwmw",4e+08,0.005,0.005,0.005,0.005
"23","RCP4.5","Kootenay South","ESSFwm4",1e+09,0.01,0.01,0.01,0.01
"24","RCP4.5","Kootenay South","ESSFwmp",1e+08,0.004,0.004,0.004,0.004
"25","RCP4.5","Kootenay South","ESSFdkp",5e+07,0.005,0.005,0.005,0.005
"26","RCP4.5","Kootenay South","ESSFdkw",3e+08,0.006,0.009,0.006,0.006
"27","RCP4.5","Kootenay South","IMAun",3e+06,0.003,0.003,0.003,0.003
"28","RCP4.5","Kootenay South","MSdk",1e+07,0.02,0.02,0.02,0.02
"29","RCP4.5","Kootenay South","ICHmk4",5e+07,0.009,0.009,0.009,0.009
"30","RCP4.5","Kootenay South","ESSFdk1",1e+09,0.008,0.009,0.009,0.009
"31","RCP4.5","Kootenay South","ESSFwm1",1e+08,0.007,0.007,0.007,0.007
"32","RCP4.5","Kootenay South","ESSFdk2",7e+07,0.008,0.008,0.008,0.008
"33","RCP4.5","Kootenay South","ICHmw2",1e+07,0.004,0.004,0.004,0.004
"34","RCP4.5","Kootenay South","ESSFwh2",1e+08,0.004,0.004,0.004,0.004
"35","RCP4.5","Kootenay South","ESSFwm2",2e+08,0.003,0.003,0.003,0.003
"36","RCP4.5","Kootenay South","MSdw",1e+09,0.02,0.02,0.02,0.02
"37","RCP4.5","Kootenay South","IDFdm2",2e+09,0.05,0.05,0.05,0.05
"38","RCP4.5","Kootenay South","IDFxx2",8e+08,0.06,0.06,0.06,0.06
"39","RCP4.5","Kootenay South","ICHxw",1e+07,0.01,0.01,0.01,0.01
"40","RCP4.5","Kootenay South","ICHdw1",2e+08,0.01,0.01,0.01,0.01
"41","RCP4.5","Kootenay South","IDFxk",2e+05,0.05,0.05,0.05,0.05
"42","RCP4.5","Kootenay North","ESSFdkp",9e+07,0.005,0.005,0.005,0.005
"43","RCP4.5","Kootenay North","ESSFdkw",4e+08,0.006,0.006,0.006,0.006
"44","RCP4.5","Kootenay North","IMAun",1e+07,0.003,0.003,0.003,0.003
"45","RCP4.5","Kootenay North","ESSFwm1",1e+07,0.007,0.007,0.007,0.007
"46","RCP4.5","Kootenay North","MSdk",8e+08,0.02,0.02,0.02,0.02
"47","RCP4.5","Kootenay North","ESSFwmw",8e+06,0.005,0.005,0.005,0.005
"48","RCP4.5","Kootenay North","ESSFdk2",1e+09,0.008,0.008,0.008,0.008
"49","RCP4.5","Kootenay North","ESSFwmp",6e+06,0.004,0.004,0.004,0.004
"50","RCP4.5","Kootenay North","ESSFdk1",5e+07,0.009,0.009,0.009,0.009
"51","RCP4.5","Kootenay North","MSdw",5e+07,0.02,0.02,0.02,0.02
"52","RCP4.5","Kootenay North","IDFdm2",7e+07,0.05,0.05,0.05,0.05
"53","RCP4.5","Kootenay North","ICHmk5",1e+08,0.02,0.02,0.02,0.02
"54","RCP4.5","Elk","ESSFdkp",6e+07,0.005,0.005,0.005,0.005
"55","RCP4.5","Elk","ESSFdkw",5e+08,0.006,0.006,0.006,0.006
"56","RCP4.5","Elk","IMAun",7e+05,0.003,0.003,0.003,0.003
"57","RCP4.5","Elk","ESSFwmp",9e+06,0.004,0.004,0.004,0.004
"58","RCP4.5","Elk","ESSFwmw",2e+08,0.005,0.005,0.005,0.005
"59","RCP4.5","Elk","MSdk",3e+08,0.02,0.02,0.02,0.02
"60","RCP4.5","Elk","ICHmk4",6e+08,0.009,0.009,0.009,0.009
"61","RCP4.5","Elk","ESSFdk1",1e+09,0.009,0.009,0.009,0.009
"62","RCP4.5","Elk","ESSFwm1",5e+08,0.007,0.007,0.007,0.007
"63","RCP4.5","Elk","ESSFdk2",5e+08,0.008,0.008,0.008,0.008
"64","RCP4.5","Elk","ICHdm",4e+07,0.01,0.01,0.01,0.01
"65","RCP4.5","Elk","MSdw",9e+08,0.02,0.02,0.02,0.02
"66","RCP4.5","Elk","IDFdm2",7e+06,0.05,0.05,0.05,0.05
"67","RCP4.5","Columbia","IMAun",2e+05,0.003,0.003,0.003,0.003
"68","RCP4.5","Columbia","MSdk",8e+08,0.02,0.02,0.02,0.02
"69","RCP4.5","Columbia","ESSFdkw",1e+08,0.006,0.006,0.006,0.006
"70","RCP4.5","Columbia","MSdw",3e+07,0.02,0.02,0.02,0.02
"71","RCP4.5","Columbia","ESSFdk1",5e+06,0.009,0.009,0.009,0.009
"72","RCP4.5","Columbia","IDFdm2",6e+07,0.05,0.05,0.05,0.05
"73","RCP4.5","Columbia","ICHmk5",2e+08,0.02,0.02,0.02,0.02
"74","RCP4.5","Columbia","ESSFmmw",3e+06,0.002,0.002,0.002,0.002
"75","RCP4.5","Columbia","ESSFdkp",2e+07,0.005,0.005,0.005,0.005
"76","RCP4.5","Columbia","ESSFdk2",4e+08,0.007,0.008,0.008,0.008
"77","RCP4.5","Columbia","ESSFmm3",6e+06,0.004,0.004,0.004,0.004
"78","RCP4.5","Columbia","IDFxk",2e+08,0.05,0.05,0.05,0.05
"79","RCP4.5","Columbia","IDFdk5",5e+08,0.04,0.04,0.04,0.04
"80","RCP4.5","Columbia","ICHmw1",1e+07,0.01,0.01,0.01,0.01
"81","RCP4.5","Columbia","ESSFmmp",3e+06,0.002,0.002,0.002,0.002
