"","Zone","Region_Name","Aspect","number_fires","mean_fs_BEC","min_fs_BEC","max_fs_BEC","FRI"
"93","Kootenay South","ESSFwm2","warm",18,33,0,702,476
"94","Kootenay South","ESSFwm4","cool",62,80,0,3734,300
"95","Kootenay South","ESSFwm4","warm",62,79,0,2253,289
"96","Kootenay South","ESSFwmp","cool",15,20,0,210,1620
"97","Kootenay South","ESSFwmp","warm",9,2,0,15,1350
"98","Kootenay South","ESSFwmw","cool",42,21,0,685,810
"99","Kootenay South","ESSFwmw","warm",37,23,0,348,736
"100","Kootenay South","ICHdm","cool",80,103,0,1587,405
"101","Kootenay South","ICHdm","warm",52,5,0,83,352
"102","Kootenay South","ICHdw1","cool",12,101,0,700,1012
"103","Kootenay South","ICHdw1","warm",7,4,0,12,2700
"104","Kootenay South","ICHmk4","cool",6,52,0,282,386
"105","Kootenay South","ICHmk4","warm",6,81,0,233,279
"106","Kootenay South","ICHmw2","cool",2,1,0,2,Inf
"107","Kootenay South","ICHxw","cool",2,5,3,7,8100
"108","Kootenay South","IDFdm2","cool",81,28,0,505,2700
"109","Kootenay South","IDFdm2","warm",71,27,0,1061,1157
"110","Kootenay South","IDFxk","cool",1,1,1,2,81
"111","Kootenay South","IDFxk","warm",1,7,4,10,81
"112","Kootenay South","IDFxx2","cool",122,22,0,413,900
"113","Kootenay South","IDFxx2","warm",84,7,0,69,736
"114","Kootenay South","MSdk","cool",2,12,0,32,1350
"115","Kootenay South","MSdk","warm",2,4,2,6,2025
"116","Kootenay South","MSdw","cool",65,123,0,5216,405
"117","Kootenay South","MSdw","warm",51,21,0,290,476
"118","Kootenay South","ESSFdkp","warm",NA,NA,NA,NA,NA
"119","Kootenay South","ICHmw2","warm",NA,NA,NA,NA,NA
"120","Kootenay South","ICHxw","warm",NA,NA,NA,NA,NA
"121","Kootenay South","IMAun","cool",NA,NA,NA,NA,NA
"122","Kootenay South","IMAun","warm",NA,NA,NA,NA,NA
"123","Purcell","ESSFdk1","cool",4,47,0,231,352
"124","Purcell","ESSFdk1","warm",6,356,1,1102,213
"125","Purcell","ESSFdk2","cool",26,38,0,342,1350
"126","Purcell","ESSFdk2","warm",22,93,0,736,1350
"127","Purcell","ESSFdkp","cool",11,17,0,88,4050
"128","Purcell","ESSFdkp","warm",2,2,0,4,4050
"129","Purcell","ESSFdkw","cool",17,39,0,300,2700
"130","Purcell","ESSFdkw","warm",13,4,0,17,4050
"131","Purcell","ESSFmm3","cool",12,77,0,516,1350
"132","Purcell","ESSFmm3","warm",8,30,2,124,1620
"133","Purcell","ESSFmmp","cool",4,16,0,69,4050
"134","Purcell","ESSFmmp","warm",1,25,25,25,8100
"135","Purcell","ESSFmmw","cool",5,43,0,163,4050
"136","Purcell","ESSFmmw","warm",3,13,1,23,4050
"137","Purcell","ESSFwh2","cool",13,16,0,88,1620
"138","Purcell","ESSFwh2","warm",12,8,0,60,1620
"139","Purcell","ESSFwm2","cool",15,26,0,119,2025
"140","Purcell","ESSFwm2","warm",15,23,0,104,2025
"141","Purcell","ESSFwmp","cool",4,12,0,28,8100
"142","Purcell","ESSFwmp","warm",2,0,0,0,Inf
"143","Purcell","ESSFwmw","cool",10,12,0,71,4050
"144","Purcell","ESSFwmw","warm",10,9,0,51,2700
"145","Purcell","ICHdm","cool",8,55,0,412,405
"146","Purcell","ICHdm","warm",7,3,0,16,253
"147","Purcell","ICHmk5","cool",1,74,74,74,4050
"148","Purcell","ICHmw2","cool",2,40,20,60,2700
"149","Purcell","ICHmw2","warm",2,2,1,3,8100
"150","Purcell","IDFdk5","cool",3,4,0,16,2700
"151","Purcell","IDFdk5","warm",3,55,0,323,1620
"152","Purcell","IDFdm2","cool",4,31,0,189,225
"153","Purcell","IDFdm2","warm",6,228,0,1586,213
"154","Purcell","IDFxk","cool",1,5,0,11,81
"155","Purcell","IDFxk","warm",1,6,0,11,81
"156","Purcell","IMAun","cool",4,5,0,21,2025
"157","Purcell","IMAun","warm",3,5,0,14,231
"158","Purcell","MSdk","cool",20,83,0,536,1012
"159","Purcell","MSdk","warm",16,9,0,98,1012
"160","Purcell","MSdw","cool",3,423,1,1694,231
"161","Purcell","MSdw","warm",2,15,0,116,253
"162","Purcell","ESSFwcp","cool",NA,NA,NA,NA,NA
"163","Purcell","ESSFwcp","warm",NA,NA,NA,NA,NA
"164","Purcell","ESSFwcw","cool",NA,NA,NA,NA,NA
"165","Purcell","ESSFwcw","warm",NA,NA,NA,NA,NA
"166","Purcell","ICHmk5","warm",NA,NA,NA,NA,NA
