"","Scenario","Region","BEC","AREA","MIN","MAX","MEAN","MEDIAN"
"78","Modern","Columbia","ESSFdk1",6e+06,0.008,0.01,0.01,0.01
"79","Modern","Columbia","ICHmw1",1e+07,0.003,0.01,0.007,0.007
"80","Modern","Columbia","ESSFmm3",6e+06,0.004,0.01,0.008,0.008
"81","Modern","Columbia","ESSFmmp",3e+06,0.002,0.01,0.007,0.006
"82","RCP4.5","Purcell","ICHmw2",3e+07,0.004,0.004,0.004,0.004
"83","RCP4.5","Purcell","IMAun",1e+07,0.003,0.003,0.003,0.003
"84","RCP4.5","Purcell","ESSFwmp",9e+07,0.004,0.004,0.004,0.004
"85","RCP4.5","Purcell","ESSFdkp",1e+08,0.005,0.005,0.005,0.005
"86","RCP4.5","Purcell","ESSFwh2",1e+08,0.004,0.004,0.004,0.004
"87","RCP4.5","Purcell","ESSFwm2",3e+08,0.003,0.003,0.003,0.003
"88","RCP4.5","Purcell","ESSFwmw",2e+08,0.004,0.005,0.005,0.005
"89","RCP4.5","Purcell","MSdk",4e+08,0.02,0.02,0.02,0.02
"90","RCP4.5","Purcell","ESSFdkw",4e+08,0.006,0.006,0.006,0.006
"91","RCP4.5","Purcell","MSdw",1e+08,0.02,0.02,0.02,0.02
"92","RCP4.5","Purcell","ESSFdk1",1e+08,0.009,0.009,0.009,0.009
"93","RCP4.5","Purcell","ICHdm",6e+07,0.01,0.01,0.01,0.01
"94","RCP4.5","Purcell","IDFdm2",8e+07,0.05,0.05,0.05,0.05
"95","RCP4.5","Purcell","ICHmk5",5e+07,0.02,0.02,0.02,0.02
"96","RCP4.5","Purcell","ESSFmmw",2e+08,0.002,0.002,0.002,0.002
"97","RCP4.5","Purcell","ESSFdk2",8e+08,0.007,0.008,0.008,0.008
"98","RCP4.5","Purcell","ESSFmm3",4e+08,0.003,0.004,0.004,0.004
"99","RCP4.5","Purcell","IDFxk",3e+05,0.05,0.05,0.05,0.05
"100","RCP4.5","Purcell","IDFdk5",8e+07,0.04,0.04,0.04,0.04
"101","RCP4.5","Purcell","ESSFmmp",7e+07,0.002,0.002,0.002,0.002
"102","RCP4.5","Kootenay South","ICHdm",1e+09,0.01,0.01,0.01,0.01
