"","Zone","Region_Name","Aspect","mean_fs_BEC.H","mean_fs_BEC.M","mean_fs_BEC.aspect.H","mean_fs_BEC.aspect.M","min_fs_BEC.H","min_fs_BEC.M","min_fs_BEC.aspect.H","min_fs_BEC.aspect.M","max_fs_BEC.H","max_fs_BEC.M","max_fs_BEC.aspect.H","max_fs_BEC.aspect.M","FRI.H","FRI.M","FRI.aspect.H","FRI.aspect.M"
"55","Purcell","IMAun","warm",50,10,0,5,10,0,0,0,5000,34,0,14,350,1620,0,231
"56","Purcell","IMAun","cool",50,10,0,5,10,0,0,0,5000,34,0,21,350,1620,0,2025
"57","Purcell","MSdk","warm",20,94,70,9,2,0,2,0,1000,638,1000,98,120,1012,50,1012
"58","Purcell","MSdk","cool",20,94,30,83,2,0,1,0,1000,638,500,536,120,1012,70,1012
"59","Purcell","MSdw","warm",20,586,70,15,2,1,2,0,1000,2033,1000,116,120,231,50,253
"60","Purcell","MSdw","cool",20,586,50,423,2,1,1,1,1000,2033,500,1694,120,231,70,231
"61","Kootenay North","ESSFdk2","warm",100,429,100,287,10,0,5,0,2000,11078,2000,5906,150,193,150,188
"62","Kootenay North","ESSFdk3","cool",100,NA,70,NA,10,NA,1,NA,2000,NA,500,NA,150,NA,250,NA
"63","Kootenay North","ESSFdkp","warm",100,38,100,2,10,0,1,0,2000,315,2000,11,400,289,150,202
"64","Kootenay North","ESSFdkp","cool",100,38,70,36,10,0,0,0,2000,315,500,279,400,289,400,289
"65","Kootenay North","ESSFdkw","warm",100,147,100,14,10,0,1,0,2000,1706,2000,139,400,261,150,279
"66","Kootenay North","ESSFdkw","cool",100,147,70,109,10,0,0,0,2000,1706,500,1477,400,261,400,261
"67","Kootenay North","ESSFwmw","warm",100,70,100,26,10,3,5,0,2000,168,2000,78,150,135,250,147
"68","Kootenay North","ESSFwmw","cool",100,70,70,28,10,3,1,0,2000,168,500,89,150,135,400,129
"69","Kootenay North","ICHmk5","warm",10,119,70,23,10,7,5,0,5000,495,5000,63,150,540,70,675
"70","Kootenay North","ICHmk6","cool",10,NA,70,NA,10,NA,1,NA,5000,NA,1000,NA,150,NA,70,NA
"71","Kootenay North","IMAun","warm",50,19,0,4,10,0,0,0,5000,177,0,31,350,176,0,63
"72","Kootenay North","IMAun","cool",50,19,0,15,10,0,0,0,5000,177,0,146,350,176,0,193
"73","Kootenay North","MSdk","warm",20,292,70,10,2,0,2,0,1000,7633,5000,118,120,324,70,1157
"74","Kootenay North","MSdk","cool",20,292,70,258,2,0,1,0,1000,7633,1000,7523,120,324,70,300
"75","Kootenay South","ESSFdk1","warm",100,191,70,68,10,0,5,0,2000,3393,300,1620,150,352,150,300
"76","Kootenay South","ESSFdk2","cool",100,81,50,40,10,0,1,0,2000,375,100,335,150,476,250,476
"77","Kootenay South","ESSFdkw","warm",100,58,50,22,10,0,1,0,2000,341,200,96,400,1012,200,810
"78","Kootenay South","ESSFdkw","cool",100,58,30,30,10,0,0,0,2000,341,75,339,400,1012,400,1012
"79","Kootenay South","ESSFwm4","warm",100,202,70,79,10,0,5,0,2000,6075,300,2253,150,300,150,289
"80","Kootenay South","ESSFwm5","cool",100,NA,50,NA,10,NA,1,NA,2000,NA,100,NA,150,NA,250,NA
