OID_,MAP_LABEL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,ESSFdkp,1,103434.000000000000000,93090600.000000000000000,0.004734990186989,0.004908567760140,0.000173577573150,0.004827441644128,0.000045102396167,499.321599018760708,0.004839724861085,0.004876634897664
2,ESSFdkw,2,487834.000000000000000,439050600.000000000000000,0.005632742773741,0.005841217469424,0.000208474695683,0.005742262217402,0.000052717642122,2801.270746564038291,0.005755885038525,0.005803072545677
3,IMAun,3,12042.000000000000000,10837800.000000000000000,0.003006288316101,0.003111236495897,0.000104948179796,0.003079776056411,0.000011523261531,37.086663271300552,0.003081397269852,0.003087931871414
4,ESSFwm1,4,11896.000000000000000,10706400.000000000000000,0.006943645421416,0.006980406586081,0.000036761164665,0.006958182664438,0.000014048683618,82.774540976155720,0.006946675013751,0.006976020988077
5,MSdk,5,882117.000000000000000,793905300.000000000000000,0.015407714992762,0.015962965786457,0.000555250793695,0.015670412084441,0.000119316225904,13823.136896690413778,0.015666877850890,0.015833499655128
6,ESSFwmw,7,9049.000000000000000,8144100.000000000000000,0.005153392907232,0.005180495325476,0.000027102418244,0.005163552107800,0.000009611473779,46.724983023479638,0.005156556610018,0.005178270395845
7,ESSFdk2,8,1353655.000000000000000,1218289500.000000000000000,0.007547791115940,0.007822952233255,0.000275161117315,0.007693531500000,0.000066512022431,10414.387382633038214,0.007709150668234,0.007770121842623
8,ESSFwmp,9,6878.000000000000000,6190200.000000000000000,0.003691232530400,0.003709989832714,0.000018757302314,0.003696169732194,0.000005618487575,25.422255418030542,0.003693470032886,0.003707775170915
9,ESSFdk1,10,51147.000000000000000,46032300.000000000000000,0.008707392029464,0.008766042999923,0.000058650970459,0.008737028131284,0.000013020302401,446.872777830807138,0.008738362230361,0.008754643984139
10,MSdw,11,56964.000000000000000,51267600.000000000000000,0.018357697874308,0.018490007147193,0.000132309272885,0.018419361152079,0.000025082404779,1049.240488667037425,0.018423234112561,0.018441774696112
11,IDFdm2,12,77716.000000000000000,69944400.000000000000000,0.048341426998377,0.048548161983490,0.000206734985113,0.048466673627525,0.000046836101753,3766.636007636763225,0.048476472496986,0.048520458862185
12,ICHmk5,14,118695.000000000000000,106825500.000000000000000,0.017508761957288,0.017745656892657,0.000236894935369,0.017651751149400,0.000045228777181,2095.174602678068823,0.017658894881606,0.017706082388759
