OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_Historical_Fire_Perimeters_ROI,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_1,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
11,10,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,635219.487199999974109,7790.015999999999622,635219.000000000000000,7790.000000000000000,5117457.000000000000000,579,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,6117.217834524346472,466103.957168092776556,46.610395716809279
12,11,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,919780.512800000025891,8446.469999999999345,919781.000000000000000,8446.000000000000000,5120897.000000000000000,579,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,3208.023376694590297,126847.412705376482336,12.684741270537648
13,12,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,7661874.047799999825656,56807.710299999998824,7661874.000000000000000,56808.000000000000000,5121032.000000000000000,579,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,3884.288518754644429,570574.490770372445695,57.057449077037248
14,12,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,7661874.047799999825656,56807.710299999998824,7661874.000000000000000,56808.000000000000000,5121032.000000000000000,941,N20609,0.000000000000000,1970,Person,1970-N20609,1357.099999999999909,mylars, ,20070517130630,19700823,digitised,JA70003000,0.000000000000000,1769570.000000000000000,13571891.510399999096990,18659.428100000000995,9697.182978997792816,1043000.944554992718622,104.300094455499277
15,13,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,292241.732299999974202,4377.379700000000412,292242.000000000000000,4377.000000000000000,5117451.000000000000000,579,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,1620.168082945458991,84591.758840063761454,8.459175884006376
16,14,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,265258.267700000025798,4224.105700000000070,265258.000000000000000,4224.000000000000000,5120894.000000000000000,579,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,1055.364444927567092,33770.200827901906450,3.377020082790191
17,15,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3750784.940500000026077,36310.348100000002887,3750785.000000000000000,36310.000000000000000,5120909.000000000000000,941,N20609,0.000000000000000,1970,Person,1970-N20609,1357.099999999999909,mylars, ,20070517130630,19700823,digitised,JA70003000,0.000000000000000,1769570.000000000000000,13571891.510399999096990,18659.428100000000995,1669.652768113355251,20578.676109444921167,2.057867610944492
18,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,532,378,0.000000000000000,1936,Lightning,1936-378,5849.300000000000182,linens, ,20070517130602,19360803,digitised,JA70003000,0.000000000000000,1763054.000000000000000,58493121.573399998247623,47777.914900000003399,880.978848582365231,15899.019997843166493,1.589901999784317
19,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,681,408207020,0.000000000000000,1940,Person,1940-408207020,158.800000000000011,mylars, ,20070517130640,20070516,digitised,JA70003000,0.000000000000000,1764577.000000000000000,1588341.302900000009686,7106.479500000000371,5661.684207891140431,226148.194323384843301,22.614819432338486
20,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,759,38,0.000000000000000,1949,Person,1949-38,81.299999999999997,linens, ,20070517130603,19490514,digitised,JA70003000,0.000000000000000,1766279.000000000000000,813137.766599999973550,5988.225900000000365,48.050482059905136,58.554094302653276,0.005855409430265
