OID_,FID_BEC_PEM_Elk,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Elk,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
11,5,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,6,warm,ESSFdkwwarm,36,124,0.000000000000000,1921,Person,1921-124,215.699999999999989,linens, ,20070517130622,19210829,digitised,JA70003000,0.000000000000000,1756655.000000000000000,2157767.126499999780208,7345.608699999999772,2540.027536510478967,76933.901212922821287,7.693390121292283
12,5,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,6,warm,ESSFdkwwarm,64,699,0.000000000000000,1929,Lightning,1929-699,13068.700000000000728,linens, ,20070517130623,19290804,assumed_shape,JA70003000,0.000000000000000,1760169.000000000000000,130687686.042300000786781,60253.089800000001560,1668.055198874877306,22537.306173321459937,2.253730617332146
13,5,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,6,warm,ESSFdkwwarm,104,378,0.000000000000000,1936,Lightning,1936-378,5849.300000000000182,linens, ,20070517130602,19360803,digitised,JA70003000,0.000000000000000,1763054.000000000000000,58493121.573399998247623,47777.914900000003399,156.738558458736009,1047.180034789682622,0.104718003478968
14,5,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,6,warm,ESSFdkwwarm,114,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,11789.544213437186045,525259.278129399055615,52.525927812939905
15,5,6,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,35893542.294100001454353,259039.917699999990873,35893542.000000000000000,259040.000000000000000,5117728.000000000000000,6,warm,ESSFdkwwarm,195,N10748,0.000000000000000,2003,Lightning,2003-N10748,1178.599999999999909,LANDSAT5, ,20070517150824,20030820,digitized,JA70003000,0.000000000000000,1773459.000000000000000,11786780.354499999433756,24036.084699999999430,39694.534836818456824,1885540.090471261879429,188.554009047126186
16,6,7,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,14735000.000000000000000,88700.000000000000000,14735000.000000000000000,88700.000000000000000,5117487.000000000000000,2,cool,ESSFdkpcool,64,699,0.000000000000000,1929,Lightning,1929-699,13068.700000000000728,linens, ,20070517130623,19290804,assumed_shape,JA70003000,0.000000000000000,1760169.000000000000000,130687686.042300000786781,60253.089800000001560,8147.953427670027850,863100.988757204497233,86.310098875720456
17,6,7,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,14735000.000000000000000,88700.000000000000000,14735000.000000000000000,88700.000000000000000,5117487.000000000000000,2,cool,ESSFdkpcool,195,N10748,0.000000000000000,2003,Lightning,2003-N10748,1178.599999999999909,LANDSAT5, ,20070517150824,20030820,digitized,JA70003000,0.000000000000000,1773459.000000000000000,11786780.354499999433756,24036.084699999999430,7725.488455220084688,384467.318913741793949,38.446731891374178
18,7,7,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,14735000.000000000000000,88700.000000000000000,14735000.000000000000000,88700.000000000000000,5117487.000000000000000,6,warm,ESSFdkpwarm,195,N10748,0.000000000000000,2003,Lightning,2003-N10748,1178.599999999999909,LANDSAT5, ,20070517150824,20030820,digitized,JA70003000,0.000000000000000,1773459.000000000000000,11786780.354499999433756,24036.084699999999430,1348.503575768669407,3642.678978425020887,0.364267897842502
19,9,9,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,8131716.584499999880791,74052.109100000001490,8131717.000000000000000,74052.000000000000000,5117471.000000000000000,2,cool,ESSFdkpcool,104,378,0.000000000000000,1936,Lightning,1936-378,5849.300000000000182,linens, ,20070517130602,19360803,digitised,JA70003000,0.000000000000000,1763054.000000000000000,58493121.573399998247623,47777.914900000003399,630.088705034234067,21500.676039631071035,2.150067603963107
20,11,10,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,635219.487199999974109,7790.015999999999622,635219.000000000000000,7790.000000000000000,5117457.000000000000000,2,cool,ESSFdkpcool,114,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,6117.217833005184730,465379.656947396171745,46.537965694739619
