OID_,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,Shape_Length,Shape_Area,Calculate_Area_Ha
18,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,15479126.860700000077486,53148.293700000001991,15479127.000000000000000,53148.000000000000000,5117337.000000000000000,91269.908477788208984,13007409.013756513595581,1300.740901375651447
19,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,6185000.000000000000000,34600.000000000000000,6185000.000000000000000,34600.000000000000000,5117726.000000000000000,41892.384524489010801,3738962.161221410147846,373.896216122141027
20,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,457500.000000000000000,4900.000000000000000,457500.000000000000000,4900.000000000000000,5117477.000000000000000,5319.205249459357219,194819.290321986278286,19.481929032198629
21,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,435000.000000000000000,5000.000000000000000,435000.000000000000000,5000.000000000000000,5117468.000000000000000,3011.862012418336690,112959.799269749419182,11.295979926974942
22,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,962996.789499999955297,5943.943400000000111,962997.000000000000000,5944.000000000000000,5117722.000000000000000,7678.579052049879465,546958.195923190563917,54.695819592319062
23,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,302003.426299999991897,3084.809699999999793,302003.000000000000000,3085.000000000000000,5121030.000000000000000,2927.186543442877337,134037.579498565813992,13.403757949856582
24,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,4440000.000000000000000,30200.000000000000000,4440000.000000000000000,30200.000000000000000,5117730.000000000000000,29837.274595554416010,2724525.771258431952447,272.452577125843220
25,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1997500.000000000000000,12400.000000000000000,1997500.000000000000000,12400.000000000000000,5117488.000000000000000,6104.984742322240891,280308.154981075029355,28.030815498107504
26,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,15239827.981499999761581,101501.288100000005215,15239828.000000000000000,101501.000000000000000,5117727.000000000000000,99055.869512027202290,8771559.499485041946173,877.155949948504258
27,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,2717672.018499999772757,15101.288099999999758,2717672.000000000000000,15101.000000000000000,5117480.000000000000000,17628.063033864738827,1583171.280590048758313,158.317128059004887
28,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1070000.000000000000000,6400.000000000000000,1070000.000000000000000,6400.000000000000000,5117720.000000000000000,2992.591499761470914,379563.333831907482818,37.956333383190753
