OID_,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,Shape_Length,Shape_Area,Calculate_Area_Ha
19,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1807500.000000000000000,13400.000000000000000,1807500.000000000000000,13400.000000000000000,5122015.000000000000000,6246.462967888179264,318811.117927268438507,31.881111792726845
20,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,10520000.023399999365211,36099.890800000001036,10520000.000000000000000,36100.000000000000000,5122044.000000000000000,2923.486285326787311,79826.356013230557437,7.982635601323056
21,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,360000.000000000000000,4100.000000000000000,360000.000000000000000,4100.000000000000000,5122006.000000000000000,1644.320517084236371,36123.618369450014143,3.612361836945002
22,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,19886483.862199999392033,66496.177100000000792,19886484.000000000000000,66496.000000000000000,5125152.000000000000000,93330.127024750952842,19293786.682267777621746,1929.378668226777791
23,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,48244974.517200000584126,83758.280899999997928,48244975.000000000000000,83758.000000000000000,5125151.000000000000000,131313.777541601244593,45192020.760490432381630,4519.202076049043171
24,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,273312106.470099985599518,1382238.220599999884143,273312107.000000000000000,1382238.000000000000000,5117741.000000000000000,731627.216304861009121,78751445.866079688072205,7875.144586607969359
25,435.000000000000000,MS,dw, , ,NDT3,MSdw,MS  dw,Montane Spruce,Dry Warm, , ,Ecosystems with frequent stand-initiating events,532768186.968100011348724,573335.544200000003912,532768187.000000000000000,573336.000000000000000,5125222.000000000000000,222425.477093364548637,73007575.245236411690712,7300.757524523641223
26,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,4042027.335099999792874,30864.202000000001135,4042027.000000000000000,30864.000000000000000,5120910.000000000000000,36971.495160720485728,3467315.695375914219767,346.731569537591440
27,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,389505586.205399990081787,734274.464599999948405,389505586.000000000000000,734274.000000000000000,5117345.000000000000000,78264.261376739508705,23450392.203864399343729,2345.039220386439865
28,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,26612895.131299998611212,152497.304000000003725,26612895.000000000000000,152497.000000000000000,5120896.000000000000000,23583.313823448366747,1389428.345342316431925,138.942834534231650
