OID_,MAP_LABEL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,IMAun,2,274.000000000000000,246600.000000000000000,0.003489624941722,0.003522660350427,0.000033035408705,0.003510032232382,0.000006227148719,0.961748831672594,0.003511096932925,0.003521020850167
2,MSdk,3,905332.000000000000000,814798800.000000000000000,0.017854643985629,0.018056765198708,0.000202121213078,0.017968501830178,0.000053304092208,16267.459698919146831,0.017971888184547,0.018036391586065
3,ESSFdkw,4,113556.000000000000000,102200400.000000000000000,0.006540142931044,0.006611758843064,0.000071615912020,0.006581723575750,0.000022051979159,747.394202367864750,0.006588353542611,0.006605147151276
4,MSdw,5,29391.000000000000000,26451900.000000000000000,0.020989233627915,0.021047502756119,0.000058269128203,0.021027290620507,0.000013666474081,618.013098627327054,0.021032296121120,0.021041763946414
5,ESSFdk1,6,5744.000000000000000,5169600.000000000000000,0.009949163533747,0.009973516687751,0.000024353154004,0.009964060294507,0.000009352175209,57.233562331646496,0.009971607942134,0.009973264299333
6,IDFdm2,7,71029.000000000000000,63926100.000000000000000,0.055322073400021,0.055476546287537,0.000154472887516,0.055393317626510,0.000030709965604,3934.531957693391178,0.055391494184732,0.055435427278280
7,ICHmk5,8,257641.000000000000000,231876900.000000000000000,0.020138014107943,0.020370155572891,0.000232141464949,0.020256143800034,0.000063071402654,5218.813144784446195,0.020242659375072,0.020345488563180
8,ESSFmmw,9,3496.000000000000000,3146400.000000000000000,0.002643814310431,0.002646377310157,0.000002562999725,0.002645305046189,0.000000486555378,9.247986441478156,0.002645298140123,0.002645956818014
9,ESSFdkp,10,24040.000000000000000,21636000.000000000000000,0.005496662110090,0.005556778050959,0.000060115940869,0.005533062847941,0.000017674589853,133.014830864500453,0.005537227494642,0.005552901513875
10,ESSFdk2,11,396614.000000000000000,356952600.000000000000000,0.008752199821174,0.008852658793330,0.000100458972156,0.008808116893332,0.000028874012429,3493.422473532164986,0.008817005436867,0.008841379545629
11,ESSFmm3,12,7010.000000000000000,6309000.000000000000000,0.004113418981433,0.004117961972952,0.000004542991519,0.004115987309958,0.000000955067904,28.853071042802078,0.004116016207263,0.004117289138958
12,IDFxk,13,257378.000000000000000,231640200.000000000000000,0.054639555513859,0.055031009018421,0.000391453504562,0.054846766310922,0.000091060520083,14116.351019572472069,0.054855566471815,0.054993716999888
13,IDFdk5,17,604135.000000000000000,543721500.000000000000000,0.042617175728083,0.042973969131708,0.000356793403625,0.042834540200514,0.000069829798362,25877.844944037427922,0.042845766991377,0.042912844568491
14,ICHmw1,18,11614.000000000000000,10452600.000000000000000,0.016613757237792,0.016639400273561,0.000025643035769,0.016627006075246,0.000005939880013,193.106048557908451,0.016627052798867,0.016635227948427
15,ESSFmmp,19,2782.000000000000000,2503800.000000000000000,0.002240505069494,0.002244873903692,0.000004368834198,0.002244157604987,0.000000438797447,6.243246457073819,0.002244246541522,0.002244659001008
