OID_,FID_BEC_PEM_Columbia,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Columbia,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
11,3,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,6,warm,IDFdm2warm,27,437,0.000000000000000,1931,Person,1931-437,18853.400000000001455,linens, ,20070517130647,19310720,digitised,JA70003000,0.000000000000000,1761073.000000000000000,188534523.252799987792969,153882.942000000010012,2667.979098648380841,37305.387498255324317,3.730538749825532
12,3,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,6,warm,IDFdm2warm,29,172,0.000000000000000,1931,Person,1931-172,91.900000000000006,linens, ,20070517130600,19310429,digitised,JA70003000,0.000000000000000,1760894.000000000000000,919139.072299999999814,4811.823300000000017,9088.945135039115485,799230.336974402889609,79.923033697440289
13,3,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,6,warm,IDFdm2warm,37,328,0.000000000000000,1932,Lightning,1932-328,1.400000000000000,linens, ,20070517130600,19320821,digitised,JA70003000,0.000000000000000,1761575.000000000000000,14876.102800000000570,442.305400000000020,384.233575173044926,6607.229586000677955,0.660722958600068
14,3,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,6,warm,IDFdm2warm,58,207,0.000000000000000,1945,Lightning,1945-207,24.500000000000000,linens, ,20070517130606,19450803,digitised,JA70003000,0.000000000000000,1765506.000000000000000,245650.880700000008801,2122.079600000000028,2035.455594416229587,159540.764299605187261,15.954076429960519
15,3,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,6,warm,IDFdm2warm,99,N20756,2008092301.000000000000000,2008,Lightning,2008-N20756,16.899999999999999,OZIX,20080923143631,20080923083719,20080817,GPS-TRACK,JA70003000,0.000000000000000,1774490.000000000000000,163847.377500000002328,2420.283699999999953,806.438574500618984,18327.941289531372604,1.832794128953137
16,3,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,6,warm,IDFdm2warm,113,N20200,2014081301.000000000000000,2014,Lightning,2014-N20200,1966.900000000000091,OZIX,20140813,20140815110229,20140727,GPS-TRACK,JA70003000,0.000000000000000,1776525.000000000000000,19669547.518800001591444,27381.824199999999109,18916.819023704127176,2376263.047192003112286,237.626304719200334
17,3,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,6,warm,IDFdm2warm,119,N21148,2018071501.000000000000000,2018,Person,2018-N21148,8.100000000000000,2018 ROLLOVER,20180715,20180716162939,20180713,Non-corrected ground GPS,JA70003000,0.000000000000000,1777993.000000000000000,81056.721699999994598,1725.577999999999975,1922.598891639333033,74504.249830086075235,7.450424983008608
18,4,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,7,warm,IDFdm2warm,27,437,0.000000000000000,1931,Person,1931-437,18853.400000000001455,linens, ,20070517130647,19310720,digitised,JA70003000,0.000000000000000,1761073.000000000000000,188534523.252799987792969,153882.942000000010012,71148.931563607344287,8507113.180679308250546,850.711318067930847
19,4,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,7,warm,IDFdm2warm,67,N00044,0.000000000000000,1957,Person,1957-N00044,35.799999999999997,mylars, ,20070517130637,19570504,digitised,JA70003000,0.000000000000000,1767263.000000000000000,358465.692800000018906,2631.343100000000049,178.991895096429232,952.574771133333684,0.095257477113333
20,4,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,7,warm,IDFdm2warm,79,N20039,0.000000000000000,1985,Person,1985-N20039,15538.399999999999636,LFDB, ,20070517130643,19850704,digitised,JA70003000,0.000000000000000,1771693.000000000000000,155384940.472000002861023,84410.800000000002910,627.673036043434308,5146.443617288473433,0.514644361728847
