OID_,FID_BEC_PEM_Columbia,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Columbia,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
158,169,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,5,cool,IDFxkcool,108,N20035,2015051301.000000000000000,2015,Person,2015-N20035,1.300000000000000,2015 ROLLOVER,20150513,20150528143744,20150511,OZIX,JA70003000,0.000000000000000,1776864.000000000000000,13267.455599999999322,431.816899999999976,207.756290467279769,1945.018939009460610,0.194501893900946
159,169,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,5,cool,IDFxkcool,116,N22190,2017092401.000000000000000,2017,Person,2017-N22190,1.200000000000000,2017 ROLLOVER,20170924,20170925122222,20170924,Non-corrected ground GPS,JA70003000,0.000000000000000,1777462.000000000000000,12645.738699999999881,496.805099999999982,277.278961067980276,2259.764281732781001,0.225976428173278
160,170,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,6,warm,IDFxkwarm,27,437,0.000000000000000,1931,Person,1931-437,18853.400000000001455,linens, ,20070517130647,19310720,digitised,JA70003000,0.000000000000000,1761073.000000000000000,188534523.252799987792969,153882.942000000010012,21759.138839526847732,3056816.623168181627989,305.681662316818176
161,170,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,6,warm,IDFxkwarm,57,16,0.000000000000000,1944,Person,1944-16,37.600000000000001,linens, ,20070517130607,19440427,digitised,JA70003000,0.000000000000000,1765232.000000000000000,376197.299200000008568,3000.928600000000188,3622.810224555055356,156540.206228736438788,15.654020622873645
162,170,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,6,warm,IDFxkwarm,59,15,0.000000000000000,1943,Person,1943-15,68.799999999999997,linens, ,20070517130607,19430519,digitised,JA70003000,0.000000000000000,1765087.000000000000000,688217.623299999977462,3836.259500000000116,4957.946435525431298,566177.052173790521920,56.617705217379054
163,170,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,6,warm,IDFxkwarm,61,365,0.000000000000000,1941,Person,1941-365,34.500000000000000,linens, ,20070517130608,19410811,digitised,JA70003000,0.000000000000000,1764826.000000000000000,345596.079700000002049,2673.887000000000171,2672.584345820822818,345374.684195755806286,34.537468419575582
164,170,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,6,warm,IDFxkwarm,74,N10400,0.000000000000000,1971,Person,1971-N10400,3179.199999999999818,mylars, ,20070517130630,19710814,digitised,JA70003000,0.000000000000000,1769812.000000000000000,31792855.614500001072884,29264.202399999998306,8113.633349849091246,257803.210254526435165,25.780321025452643
165,170,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,6,warm,IDFxkwarm,79,N20039,0.000000000000000,1985,Person,1985-N20039,15538.399999999999636,LFDB, ,20070517130643,19850704,digitised,JA70003000,0.000000000000000,1771693.000000000000000,155384940.472000002861023,84410.800000000002910,899.911535472547826,9997.644215962176531,0.999764421596218
166,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,18,647,0.000000000000000,1925,Lightning,1925-647,67.900000000000006,linens, ,20070517130616,19250730,digitised,JA70003000,0.000000000000000,1758906.000000000000000,679923.659100000048056,3336.077800000000025,4156.027170884874977,665103.726579891634174,66.510372657989166
167,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,27,437,0.000000000000000,1931,Person,1931-437,18853.400000000001455,linens, ,20070517130647,19310720,digitised,JA70003000,0.000000000000000,1761073.000000000000000,188534523.252799987792969,153882.942000000010012,28755.759708559740830,1383097.365965661592782,138.309736596566154
168,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,52,48,0.000000000000000,1939,Person,1939-48,3.100000000000000,linens, ,20070517130600,19390501,digitised,JA70003000,0.000000000000000,1764328.000000000000000,31869.527699999998731,663.286699999999996,673.924079040466722,26167.338840750900999,2.616733884075090
169,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,56,85,0.000000000000000,1939,Person,1939-85,19.399999999999999,linens, ,20070517130559,19390515,digitised,JA70003000,0.000000000000000,1764402.000000000000000,194475.082400000013877,1663.291899999999941,2692.534398867890104,144312.893562370503787,14.431289356237052
170,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,57,16,0.000000000000000,1944,Person,1944-16,37.600000000000001,linens, ,20070517130607,19440427,digitised,JA70003000,0.000000000000000,1765232.000000000000000,376197.299200000008568,3000.928600000000188,401.198522510633552,6355.598858178990668,0.635559885817899
171,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,74,N10400,0.000000000000000,1971,Person,1971-N10400,3179.199999999999818,mylars, ,20070517130630,19710814,digitised,JA70003000,0.000000000000000,1769812.000000000000000,31792855.614500001072884,29264.202399999998306,111287.927799872995820,11661070.840038673952222,1166.107084003867385
172,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,79,N20039,0.000000000000000,1985,Person,1985-N20039,15538.399999999999636,LFDB, ,20070517130643,19850704,digitised,JA70003000,0.000000000000000,1771693.000000000000000,155384940.472000002861023,84410.800000000002910,26140.675188818990136,2348052.382356375455856,234.805238235637546
173,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,85,N20025,0.000000000000000,1994,Lightning,1994-N20025,688.000000000000000,inventory, ,20070517130653,19940726,digitised,JA70003000,0.000000000000000,1772855.000000000000000,6880265.570100000128150,27004.864399999998568,6675.786308186318820,355805.067151365510654,35.580506715136551
174,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,93,N20019,2009042301.000000000000000,2009,Person,2009-N20019,0.900000000000000,OZIX,20090525093806,20090525093806,20090418,GPS-TRACK,JA70003000,0.000000000000000,1774951.000000000000000,9314.042600000000675,902.972899999999981,451.351997477010457,2238.206550407695886,0.223820655040770
175,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,94,N20154,2009070701.000000000000000,2009,Person,2009-N20154,0.300000000000000,OZIX,20090707224516,20090707164637,20090703,GPS-TRACK,JA70003000,0.000000000000000,1774954.000000000000000,3334.994499999999789,274.924100000000010,274.859788685438673,3332.675924208841934,0.333267592420884
176,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,96,N21086,2009110501.000000000000000,2009,Person,2009-N21086,8.699999999999999,OZIX,20091105135823,20091105135823,20091102,GPS-TRACK,JA70003000,0.000000000000000,1774958.000000000000000,87341.220400000005611,1729.677400000000034,315.432596360152957,2443.827190153416268,0.244382719015342
177,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,97,N20015,2008052901.000000000000000,2008,Person,2008-N20015,7.400000000000000,OZIX,20080529104532,20080529104532,20080501,GPS-TRACK,JA70003000,0.000000000000000,1774482.000000000000000,74660.921000000002095,1597.923600000000079,1957.725837850279731,36281.984451971322414,3.628198445197132
178,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,103,N20019,2010042701.000000000000000,2010,Person,2010-N20019,39.000000000000000,OZIX,20100517121616,20100517121616,20100426,GPS-TRACK,JA70003000,0.000000000000000,1775445.000000000000000,390408.469700000016019,2975.979699999999866,1625.172240888612805,15593.082998701282122,1.559308299870128
179,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,108,N20035,2015051301.000000000000000,2015,Person,2015-N20035,1.300000000000000,2015 ROLLOVER,20150513,20150528143744,20150511,OZIX,JA70003000,0.000000000000000,1776864.000000000000000,13267.455599999999322,431.816899999999976,434.524346016355480,11313.048255986723234,1.131304825598672
180,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,115,N21956,2017091901.000000000000000,2017,Person,2017-N21956,0.700000000000000,2017 ROLLOVER,20170919,20170919141733,20170830,Non-corrected ground GPS,JA70003000,0.000000000000000,1777459.000000000000000,7712.280999999999949,641.649700000000053,323.676437098273539,2858.340191258374489,0.285834019125837
181,171,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,116,N22190,2017092401.000000000000000,2017,Person,2017-N22190,1.200000000000000,2017 ROLLOVER,20170924,20170925122222,20170924,Non-corrected ground GPS,JA70003000,0.000000000000000,1777462.000000000000000,12645.738699999999881,496.805099999999982,449.656987928258843,10377.774667074734680,1.037777466707474
182,172,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,3,cool,ESSFdk2cool,9,31,0.000000000000000,1921,Person,1921-31,83.799999999999997,linens, ,20070517130616,19210604,digitised,JA70003000,0.000000000000000,1756712.000000000000000,838341.821099999942817,4896.405099999999948,591.062645732815326,1662.899859034972678,0.166289985903497
183,172,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,3,cool,ESSFdk2cool,12,129,0.000000000000000,1923,Person,1923-129,214.099999999999994,linens, ,20070517130616,19230930,digitised,JA70003000,0.000000000000000,1757607.000000000000000,2140996.381200000178069,6989.002700000000004,5681.206521021794288,77677.039454175886931,7.767703945417589
184,172,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,3,cool,ESSFdk2cool,23,653,0.000000000000000,1929,Lightning,1929-653,46.799999999999997,linens, ,20070517130618,19290807,digitised,JA70003000,0.000000000000000,1760151.000000000000000,468251.458299999998417,2604.775799999999890,765.085087943060330,1951.202495699776819,0.195120249569978
185,172,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,3,cool,ESSFdk2cool,24,394,0.000000000000000,1929,Lightning,1929-394,3233.199999999999818,linens, ,20070517130618,19290718,digitised,JA70003000,0.000000000000000,1760047.000000000000000,32332027.191500000655651,26946.932400000001508,46497.112932024181646,1229301.523848501732573,122.930152384850174
186,172,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,3,cool,ESSFdk2cool,31,164,0.000000000000000,1933,Lightning,1933-164,252.599999999999994,linens, ,20070517130600,19330716,digitised,JA70003000,0.000000000000000,1761839.000000000000000,2526284.960899999830872,9266.414699999999357,9627.015044532598040,229142.380956889275694,22.914238095688930
187,172,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,3,cool,ESSFdk2cool,42,455,0.000000000000000,1934,Lightning,1934-455,284.399999999999977,linens, ,20070517130600,19340820,digitised,JA70003000,0.000000000000000,1762476.000000000000000,2844458.651200000196695,9592.113699999999881,8130.067293545416760,255759.237184944446199,25.575923718494447
188,172,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,3,cool,ESSFdk2cool,43,286,0.000000000000000,1934,Lightning,1934-286,1713.900000000000091,linens, ,20070517130600,19340728,digitised,JA70003000,0.000000000000000,1762282.000000000000000,17139265.911299999803305,19289.628899999999703,43924.151126639742870,1306851.892251603538170,130.685189225160372
189,172,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,3,cool,ESSFdk2cool,49,134a,0.000000000000000,1938,Lightning,1938-134a,100.500000000000000,linens, ,20070517130647,19380717,digitised,JA70003000,0.000000000000000,1763457.000000000000000,1005859.732700000051409,4854.887099999999919,3405.306496510266697,130066.960284588814829,13.006696028458881
190,172,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,3,cool,ESSFdk2cool,54,287a,0.000000000000000,1939,Lightning,1939-287a,8542.100000000000364,linens, ,20070517130600,19390727,digitised,JA70003000,0.000000000000000,1764219.000000000000000,85421297.931500002741814,49605.040600000000268,247887.871804011432687,9587168.178557537496090,958.716817855753789
191,172,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,3,cool,ESSFdk2cool,66,N00059,0.000000000000000,1956,Person,1956-N00059,277.800000000000011,mylars, ,20070517130637,19560610,digitised,JA70003000,0.000000000000000,1767167.000000000000000,2778250.523599999956787,8339.415600000000268,1110.579883339698426,35110.436516614448919,3.511043651661445
192,172,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,3,cool,ESSFdk2cool,69,N00195,0.000000000000000,1959,Person,1959-N00195,383.899999999999977,mylars, ,20070517130635,19590803,digitised,JA70003000,0.000000000000000,1767831.000000000000000,3839469.533100000116974,10575.590700000000652,18021.190343100683094,538076.690255701425485,53.807669025570142
193,172,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,3,cool,ESSFdk2cool,80,N20058,0.000000000000000,1985,Lightning,1985-N20058,69.900000000000006,mylars, ,20070517130643,19850710,digitised,JA70003000,0.000000000000000,1771694.000000000000000,699239.819800000055693,3329.083900000000085,3300.155505757529681,119617.136130074330140,11.961713613007433
194,172,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,3,cool,ESSFdk2cool,90,N20751,0.000000000000000,2003,Lightning,2003-N20751,94.299999999999997,LANDSAT5, ,20070517150823,20030820,digitized,JA70003000,0.000000000000000,1773465.000000000000000,943137.785799999954179,4321.285899999999856,5362.145277091591197,128796.635156746124267,12.879663515674613
195,173,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,5,cool,ESSFdk2cool,1,86,0.000000000000000,1919,Person,1919-86,71.599999999999994,linens, ,20070517130616,19190722,digitised,JA70003000,0.000000000000000,1756281.000000000000000,716508.471200000029057,4020.666400000000067,541.016173072899505,4822.278116210699409,0.482227811621070
196,173,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,5,cool,ESSFdk2cool,12,129,0.000000000000000,1923,Person,1923-129,214.099999999999994,linens, ,20070517130616,19230930,digitised,JA70003000,0.000000000000000,1757607.000000000000000,2140996.381200000178069,6989.002700000000004,2424.058321850741322,51747.085917639160471,5.174708591763916
197,173,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,5,cool,ESSFdk2cool,24,394,0.000000000000000,1929,Lightning,1929-394,3233.199999999999818,linens, ,20070517130618,19290718,digitised,JA70003000,0.000000000000000,1760047.000000000000000,32332027.191500000655651,26946.932400000001508,2115.902081906530384,43914.230701310574659,4.391423070131058
198,173,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,5,cool,ESSFdk2cool,31,164,0.000000000000000,1933,Lightning,1933-164,252.599999999999994,linens, ,20070517130600,19330716,digitised,JA70003000,0.000000000000000,1761839.000000000000000,2526284.960899999830872,9266.414699999999357,542.098387158542096,1984.453776596715443,0.198445377659672
199,173,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,5,cool,ESSFdk2cool,42,455,0.000000000000000,1934,Lightning,1934-455,284.399999999999977,linens, ,20070517130600,19340820,digitised,JA70003000,0.000000000000000,1762476.000000000000000,2844458.651200000196695,9592.113699999999881,1066.599165583959575,11727.126822491925850,1.172712682249193
200,173,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,5,cool,ESSFdk2cool,43,286,0.000000000000000,1934,Lightning,1934-286,1713.900000000000091,linens, ,20070517130600,19340728,digitised,JA70003000,0.000000000000000,1762282.000000000000000,17139265.911299999803305,19289.628899999999703,6741.892082608825149,144233.894064555526711,14.423389406455554
201,173,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,5,cool,ESSFdk2cool,54,287a,0.000000000000000,1939,Lightning,1939-287a,8542.100000000000364,linens, ,20070517130600,19390727,digitised,JA70003000,0.000000000000000,1764219.000000000000000,85421297.931500002741814,49605.040600000000268,25147.962016402208974,520455.507549936533906,52.045550754993656
202,173,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,5,cool,ESSFdk2cool,69,N00195,0.000000000000000,1959,Person,1959-N00195,383.899999999999977,mylars, ,20070517130635,19590803,digitised,JA70003000,0.000000000000000,1767831.000000000000000,3839469.533100000116974,10575.590700000000652,3312.218913163969773,50565.612582309033314,5.056561258230904
203,173,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,5,cool,ESSFdk2cool,90,N20751,0.000000000000000,2003,Lightning,2003-N20751,94.299999999999997,LANDSAT5, ,20070517150823,20030820,digitized,JA70003000,0.000000000000000,1773465.000000000000000,943137.785799999954179,4321.285899999999856,149.957058513302314,1249.517346868661889,0.124951734686866
204,174,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,6,warm,ESSFdk2warm,31,164,0.000000000000000,1933,Lightning,1933-164,252.599999999999994,linens, ,20070517130600,19330716,digitised,JA70003000,0.000000000000000,1761839.000000000000000,2526284.960899999830872,9266.414699999999357,9650.319337771148639,462039.974362165026832,46.203997436216504
205,174,742,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,234726229.163300007581711,729901.944999999948777,234726229.000000000000000,729902.000000000000000,5117381.000000000000000,6,warm,ESSFdk2warm,54,287a,0.000000000000000,1939,Lightning,1939-287a,8542.100000000000364,linens, ,20070517130600,19390727,digitised,JA70003000,0.000000000000000,1764219.000000000000000,85421297.931500002741814,49605.040600000000268,3272.971357565792914,75878.985708588894340,7.587898570858890
