OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_Historical_Fire_Perimeters_ROI,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_1,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
11,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,677,405,0.000000000000000,1940,Lightning,1940-405,2361.699999999999818,linens, ,20070517130609,19400710,digitised,JA70003000,0.000000000000000,1764574.000000000000000,23617661.295200001448393,41085.929100000001199,2778.082986460307438,178822.622789029701380,17.882262278902971
12,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,777,355,0.000000000000000,1946,Lightning,1946-355,57.899999999999999,linens, ,20070517130605,19460815,digitised,JA70003000,0.000000000000000,1765834.000000000000000,579934.295399999944493,2928.246700000000146,3501.204381587630451,503634.964562713401392,50.363496456271342
13,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,847,N00159,0.000000000000000,1960,Lightning,1960-N00159,218.800000000000011,mylars, ,20070517130634,19600714,digitised,JA70003000,0.000000000000000,1768045.000000000000000,2188668.838899999856949,6108.602399999999761,7260.593927953186721,1060896.187462624162436,106.089618746262417
14,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,860,N00591,0.000000000000000,1960,Person,1960-N00591,83.700000000000003,mylars, ,20070517130634,19600929,digitised,JA70003000,0.000000000000000,1768095.000000000000000,837653.692400000058115,4368.231300000000374,352.760731768925893,5022.550181386519398,0.502255018138652
15,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,954,NJ0608,0.000000000000000,1970,Lightning,1970-NJ0608,642.299999999999955,mylars, ,20070517130630,19700824,digitised,JA70003000,0.000000000000000,1769596.000000000000000,6423494.203800000250340,15426.616099999999278,1008.610835149334321,48768.783779268414946,4.876878377926841
16,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,981,N10066,0.000000000000000,1985,Lightning,1985-N10066,227.300000000000011,LFDB, ,20070517130644,19850629,digitised,JA70003000,0.000000000000000,1771680.000000000000000,2273387.674699999857694,6715.173499999999876,2643.378471021977020,260503.782016978511820,26.050378201697853
17,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1097,N10147,0.000000000000000,1996,Lightning,1996-N10147,52.600000000000001,fire centre, ,20070517130640,19960810,digitised,JA70003000,0.000000000000000,1772982.000000000000000,526474.370699999970384,3282.704499999999825,3139.000385575999644,475392.653735157451592,47.539265373515747
18,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1128,N10326,0.000000000000000,2006,Lightning,2006-N10326,75.099999999999994,LANDSAT5,20060828,20071025161803,20060724,digitized,JA70003000,0.000000000000000,1773840.000000000000000,751481.599500000011176,5429.617299999999886,3554.773664404272495,312171.213672233629040,31.217121367223363
19,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1139,N10355,0.000000000000000,2003,Lightning,2003-N10355,587.600000000000023,LANDSAT5, ,20070517150824,20030805,digitized,JA70003000,0.000000000000000,1773453.000000000000000,5876415.381699999794364,16597.620299999998679,13108.269143424487993,2077967.961306073237211,207.796796130607333
20,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1254,N10262,2015080101.000000000000000,2015,Lightning,2015-N10262,226.300000000000011,2015 ROLLOVER,20150801,20150801150311,20150702,OZIX,JA70003000,0.000000000000000,1776853.000000000000000,2263801.924999999813735,6646.664099999999962,7414.292827347261664,1816266.982499047648162,181.626698249904763
21,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1257,N10279,2015081001.000000000000000,2015,Lightning,2015-N10279,80.500000000000000,2015 ROLLOVER,20150810,20150811113510,20150704,OZIX,JA70003000,0.000000000000000,1776856.000000000000000,805498.135699999984354,4269.456299999999828,2551.708781597132656,257513.620573830732610,25.751362057383073
22,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1324,N11676,2017090301.000000000000000,2017,Lightning,2017-N11676,322.800000000000011,2017 ROLLOVER,20170903,20170905221316,20170810,Non-corrected airborne GPS,JA70003000,0.000000000000000,1777440.000000000000000,3228034.092900000046939,10765.254399999999805,8055.951185675818124,1293616.391461285296828,129.361639146128539
23,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,584,433,0.000000000000000,1934,Lightning,1934-433,1292.200000000000045,linens, ,20070517130602,19340820,digitised,JA70003000,0.000000000000000,1762452.000000000000000,12922477.912200000137091,24104.304000000000087,1102.678924675453572,55676.777129022288136,5.567677712902229
24,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,597,454,0.000000000000000,1934,Lightning,1934-454,12614.399999999999636,linens, ,20070517130647,19340814,digitised,JA70003000,0.000000000000000,1762474.000000000000000,126144545.877100005745888,88320.283899999994901,18772.328431179994368,2461976.288741042837501,246.197628874104282
25,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,627,280,0.000000000000000,1938,Lightning,1938-280,4435.500000000000000,linens, ,20070517130602,19380807,digitised,JA70003000,0.000000000000000,1763664.000000000000000,44355290.767399996519089,56960.750699999996868,7235.008311250630868,455362.088863780722022,45.536208886378077
26,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,635,570,0.000000000000000,1936,Lightning,1936-570,759.899999999999977,linens, ,20070517130602,19360809,digitised,JA70003000,0.000000000000000,1763125.000000000000000,7599242.663999999873340,10768.344499999999243,3828.333166356908350,288705.583359432523139,28.870558335943254
27,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,847,N00159,0.000000000000000,1960,Lightning,1960-N00159,218.800000000000011,mylars, ,20070517130634,19600714,digitised,JA70003000,0.000000000000000,1768045.000000000000000,2188668.838899999856949,6108.602399999999761,3783.658822747341674,237540.434459290001541,23.754043445929000
28,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,891,N00160,0.000000000000000,1961,Lightning,1961-N00160,137.199999999999989,mylars, ,20070517130634,19610705,digitised,JA70003000,0.000000000000000,1768374.000000000000000,1372730.900799999944866,4599.793899999999667,3657.349097966068257,323605.100667144288309,32.360510066714433
29,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,981,N10066,0.000000000000000,1985,Lightning,1985-N10066,227.300000000000011,LFDB, ,20070517130644,19850629,digitised,JA70003000,0.000000000000000,1771680.000000000000000,2273387.674699999857694,6715.173499999999876,1750.818403754487235,82702.140448678168468,8.270214044867817
30,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,998,N20087,0.000000000000000,1985,Lightning,1985-N20087,95.599999999999994,mylars, ,20070517130643,19850722,digitised,JA70003000,0.000000000000000,1771698.000000000000000,956845.942799999960698,4413.082500000000437,1331.877348477384885,51083.235512895735155,5.108323551289573
31,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,1103,N70147,0.000000000000000,1994,Person,1994-N70147,36.299999999999997,inventory, ,20070517130641,19940922,digitised,JA70003000,0.000000000000000,1772878.000000000000000,363083.531499999982771,3519.625599999999849,478.762656610342162,13400.012583016608914,1.340001258301661
32,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,1128,N10326,0.000000000000000,2006,Lightning,2006-N10326,75.099999999999994,LANDSAT5,20060828,20071025161803,20060724,digitized,JA70003000,0.000000000000000,1773840.000000000000000,751481.599500000011176,5429.617299999999886,661.768782586383736,27830.541889906628057,2.783054188990663
