OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area,Calculate_Area_Ha
16,15,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3750784.940500000026077,36310.348100000002887,3750785.000000000000000,36310.000000000000000,5120909.000000000000000,2,cool,ESSFwmpcool,5960.704461687876574,234435.127006318885833,23.443512700631889
17,15,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3750784.940500000026077,36310.348100000002887,3750785.000000000000000,36310.000000000000000,5120909.000000000000000,6,warm,ESSFwmpwarm,631.379781408547728,1636.033415875486298,0.163603341587549
18,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,2,cool,MSdkcool,34579.059418512311822,4000876.596295763272792,400.087659629576365
19,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,5,cool,MSdkcool,2109.014587435765407,18003.274165697173885,1.800327416569717
20,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,6,warm,MSdkwarm,16416.980417119324557,303569.383050769276451,30.356938305076930
21,18,435.000000000000000,ICH,mk,4, ,NDT3,ICHmk4,ICH mk 4,Interior Cedar -- Hemlock,Moist Cool,Elk, ,Ecosystems with frequent stand-initiating events,2185939.805600000079721,12761.671000000000276,2185940.000000000000000,12762.000000000000000,5121523.000000000000000,2,cool,ICHmk4cool,29293.982027964633744,987943.721387630212121,98.794372138763023
22,18,435.000000000000000,ICH,mk,4, ,NDT3,ICHmk4,ICH mk 4,Interior Cedar -- Hemlock,Moist Cool,Elk, ,Ecosystems with frequent stand-initiating events,2185939.805600000079721,12761.671000000000276,2185940.000000000000000,12762.000000000000000,5121523.000000000000000,5,cool,ICHmk4cool,2154.765015057952496,16934.909704963796685,1.693490970496380
23,18,435.000000000000000,ICH,mk,4, ,NDT3,ICHmk4,ICH mk 4,Interior Cedar -- Hemlock,Moist Cool,Elk, ,Ecosystems with frequent stand-initiating events,2185939.805600000079721,12761.671000000000276,2185940.000000000000000,12762.000000000000000,5121523.000000000000000,6,warm,ICHmk4warm,25207.377663639606908,993659.526916738133878,99.365952691673812
24,19,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3827500.000000000000000,20000.000000000000000,3827500.000000000000000,20000.000000000000000,5117494.000000000000000,2,cool,ESSFdkpcool,22870.994149779136933,1152306.823178484104574,115.230682317848419
25,19,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3827500.000000000000000,20000.000000000000000,3827500.000000000000000,20000.000000000000000,5117494.000000000000000,6,warm,ESSFdkpwarm,1064.576902034860950,1701.381066686662962,0.170138106668666
