OID_,MAP_LABEL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,ICHdm,1,1434169.000000000000000,1290752100.000000000000000,0.015193942934275,0.015437299385667,0.000243356451392,0.015289467960644,0.000060857587242,21927.680975649498578,0.015272008255124,0.015384422615170
2,ESSFwmw,2,411401.000000000000000,370260900.000000000000000,0.005784600041807,0.005883414763957,0.000098814722151,0.005828167731254,0.000022721526852,2397.714032805519764,0.005825294181705,0.005861230660230
3,ESSFwm4,3,1227944.000000000000000,1105149600.000000000000000,0.011465257033706,0.011639884673059,0.000174627639353,0.011515790998704,0.000032873411861,14140.746462112236259,0.011508381925523,0.011563629843295
4,ESSFwmp,4,123987.000000000000000,111588300.000000000000000,0.004143132828176,0.004211951047182,0.000068818219006,0.004178495331582,0.000014437587244,518.079100676809276,0.004177007358521,0.004198602866381
5,ESSFdkp,5,50415.000000000000000,45373500.000000000000000,0.005439553875476,0.005550556350499,0.000111002475023,0.005505433554340,0.000024754991496,277.556432642040591,0.005509784445167,0.005533303692937
6,ESSFdkw,6,304652.000000000000000,274186800.000000000000000,0.006464151199907,0.009964496828616,0.003500345628709,0.006543350819414,0.000036350896463,1993.444913836193564,0.006549926009029,0.006589995604008
7,IMAun,7,3410.000000000000000,3069000.000000000000000,0.003461364656687,0.003506381064653,0.000045016407967,0.003476909109490,0.000012363604947,11.856260063359519,0.003473940305412,0.003491691453382
8,MSdk,8,11753.000000000000000,10577700.000000000000000,0.017786854878068,0.017888095229864,0.000101240351796,0.017841873497296,0.000030113916648,209.695539213717240,0.017839662730694,0.017882780730724
9,ICHmk4,9,51224.000000000000000,46101600.000000000000000,0.009926534257829,0.010016414336860,0.000089880079031,0.009946962815049,0.000024025763559,509.523223238066180,0.009937449824065,0.009992305934429
10,ESSFdk1,10,1387863.000000000000000,1249076700.000000000000000,0.009823543019593,0.010036861523986,0.000213318504393,0.009931155203147,0.000052303456321,13783.082853704820081,0.009946131147444,0.009998963214457
11,ESSFwm1,11,110723.000000000000000,99650700.000000000000000,0.007827430032194,0.007901727221906,0.000074297189713,0.007836543708366,0.000008689591477,867.685629021388195,0.007834059186280,0.007842618040740
12,ESSFdk2,12,78396.000000000000000,70556400.000000000000000,0.008693741634488,0.008825668133795,0.000131926499307,0.008726611064858,0.000021979827587,684.131401040571518,0.008722641039640,0.008758890442550
13,ICHmw2,13,10937.000000000000000,9843300.000000000000000,0.004331699106842,0.004337970167398,0.000006271060556,0.004334555969708,0.000001130761517,47.407038640696442,0.004334540106356,0.004336018301547
14,ESSFwh2,14,116393.000000000000000,104753700.000000000000000,0.004323311150074,0.004375783260912,0.000052472110838,0.004344657776009,0.000011970575330,505.687752522991616,0.004344398155808,0.004360608290881
15,ESSFwm2,15,240508.000000000000000,216457200.000000000000000,0.003586342791095,0.003632865613326,0.000046522822231,0.003607218396883,0.000011709311382,867.564882197417319,0.003608080558479,0.003621742594987
16,MSdw,16,1650822.000000000000000,1485739800.000000000000000,0.020722638815641,0.021164627745748,0.000441988930106,0.020931468897575,0.000102317157087,34554.129348432252300,0.020936943590641,0.021060813218355
17,IDFdm2,17,2006532.000000000000000,1805878800.000000000000000,0.054565932601690,0.055722612887621,0.001156680285931,0.055012601848996,0.000236074582521,110384.546013269849936,0.055000700056553,0.055347129702568
18,IDFxx2,18,915003.000000000000000,823502700.000000000000000,0.069871783256531,0.071101292967796,0.001229509711266,0.070480475176352,0.000263932396279,64489.846227787944372,0.070462271571159,0.070844916999340
19,ICHxw,19,11613.000000000000000,10451700.000000000000000,0.014794012531638,0.014811175875366,0.000017163343728,0.014800339193708,0.000003461689998,171.876339056528934,0.014799423515797,0.014805974997580
20,ICHdw1,20,262102.000000000000000,235891800.000000000000000,0.016818564385176,0.016920546069741,0.000101981684566,0.016867230124697,0.000022829034731,4420.934750143420388,0.016866784542799,0.016896914504468
21,IDFxk,21,179.000000000000000,161100.000000000000000,0.054775744676590,0.054785408079624,0.000009663403034,0.054780855358646,0.000002114457224,9.805773109197620,0.054780934005976,0.054783528298140
