OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_Historical_Fire_Perimeters_ROI,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_1,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
11,92,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,2562220.705399999860674,19092.661000000000058,2562221.000000000000000,19093.000000000000000,5122048.000000000000000,359,411,0.000000000000000,1929,Lightning,1929-411,7952.399999999999636,linens, ,20070517130649,19290721,assumed_shape,JA70003000,0.000000000000000,1760057.000000000000000,79524448.701600000262260,52364.817000000002736,14510.181101253443558,1975119.253909655380994,197.511925390965558
12,92,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,2562220.705399999860674,19092.661000000000058,2562221.000000000000000,19093.000000000000000,5122048.000000000000000,956,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,1446.854852845856385,57490.560555024123460,5.749056055502413
13,95,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,10881317.619799999520183,83725.753700000001118,10881318.000000000000000,83726.000000000000000,5121035.000000000000000,359,411,0.000000000000000,1929,Lightning,1929-411,7952.399999999999636,linens, ,20070517130649,19290721,assumed_shape,JA70003000,0.000000000000000,1760057.000000000000000,79524448.701600000262260,52364.817000000002736,4012.684112330484822,129533.377276276500197,12.953337727627650
14,95,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,10881317.619799999520183,83725.753700000001118,10881318.000000000000000,83726.000000000000000,5121035.000000000000000,956,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,1861.870556511450332,28521.564711292849097,2.852156471129285
15,95,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,10881317.619799999520183,83725.753700000001118,10881318.000000000000000,83726.000000000000000,5121035.000000000000000,1323,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,16083.059174395017180,1675022.358619884587824,167.502235861988453
16,97,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1048718.771100000012666,9211.700600000000122,1048719.000000000000000,9212.000000000000000,5120913.000000000000000,956,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,644.591958762918807,4997.785218418135628,0.499778521841814
17,97,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1048718.771100000012666,9211.700600000000122,1048719.000000000000000,9212.000000000000000,5120913.000000000000000,1323,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,5704.783972649651332,435817.529812564025633,43.581752981256408
18,100,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,42509623.572400003671646,150589.507699999987381,42509624.000000000000000,150590.000000000000000,5117341.000000000000000,292,866,0.000000000000000,1926,Person,1926-866,2204.199999999999818,linens, ,20070517130621,19260731,digitised,JA70003000,0.000000000000000,1759496.000000000000000,22042257.910100001841784,24714.966100000001461,28903.208522363191150,8053428.480390772223473,805.342848039077239
19,100,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,42509623.572400003671646,150589.507699999987381,42509624.000000000000000,150590.000000000000000,5117341.000000000000000,455,153b,0.000000000000000,1933,Person,1933-153b,114.500000000000000,linens, ,20070517130602,19330725,digitised,JA70003000,0.000000000000000,1761820.000000000000000,1145156.173200000077486,4520.664499999999862,2462.845821256347335,189015.282781160756713,18.901528278116075
20,101,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,110122798.298399999737740,666800.300700000021607,110122798.000000000000000,666800.000000000000000,5117745.000000000000000,359,411,0.000000000000000,1929,Lightning,1929-411,7952.399999999999636,linens, ,20070517130649,19290721,assumed_shape,JA70003000,0.000000000000000,1760057.000000000000000,79524448.701600000262260,52364.817000000002736,9874.401427788150613,1091408.702369261300191,109.140870236926133
