OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area
20,506,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,167501.875000000000000,2499.925099999999929,167502.000000000000000,2500.000000000000000,5122578.000000000000000,3,cool,IMAuncool,1495.772488877831393,22908.670963010943524
21,506,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,167501.875000000000000,2499.925099999999929,167502.000000000000000,2500.000000000000000,5122578.000000000000000,7,warm,IMAunwarm,220.482741719639279,508.108453776603710
22,507,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,475000.000000000000000,4800.000000000000000,475000.000000000000000,4800.000000000000000,5122582.000000000000000,3,cool,IMAuncool,2006.096899966450792,79624.343320169311482
23,508,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,247500.000000000000000,3700.000000000000000,247500.000000000000000,3700.000000000000000,5122583.000000000000000,3,cool,IMAuncool,2477.168648460871282,50627.532053049195383
24,511,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,210000.000000000000000,2200.000000000000000,210000.000000000000000,2200.000000000000000,5122589.000000000000000,3,cool,IMAuncool,1181.262692960772256,33614.643269336498633
25,512,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,550000.000000000000000,6000.000000000000000,550000.000000000000000,6000.000000000000000,5122595.000000000000000,3,cool,IMAuncool,4191.909879106374319,119848.193475266642054
26,512,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,550000.000000000000000,6000.000000000000000,550000.000000000000000,6000.000000000000000,5122595.000000000000000,5,cool,IMAuncool,269.789090652732682,675.168485311595532
27,513,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,185000.000000000000000,2700.000000000000000,185000.000000000000000,2700.000000000000000,5122605.000000000000000,3,cool,IMAuncool,966.694219930748773,12771.332125000311862
28,514,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,285000.000000000000000,4200.000000000000000,285000.000000000000000,4200.000000000000000,5122609.000000000000000,3,cool,IMAuncool,165.057436192855818,1445.449640328240548
29,515,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,33671962.945799998939037,260118.921499999996740,33671963.000000000000000,260119.000000000000000,5117610.000000000000000,3,cool,ESSFdkpcool,130839.118858985282714,17433569.929972488433123
30,515,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,33671962.945799998939037,260118.921499999996740,33671963.000000000000000,260119.000000000000000,5117610.000000000000000,7,warm,ESSFdkpwarm,5644.751139432485616,19341.832281483802944
31,516,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,187500.000000000000000,2600.000000000000000,187500.000000000000000,2600.000000000000000,5122536.000000000000000,3,cool,IMAuncool,2081.130968518533336,61019.331170605008083
32,517,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,300000.000000000000000,3300.000000000000000,300000.000000000000000,3300.000000000000000,5122530.000000000000000,3,cool,IMAuncool,2696.618362984724627,165863.405953431880334
33,518,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1622500.000000000000000,9200.000000000000000,1622500.000000000000000,9200.000000000000000,5117791.000000000000000,3,cool,ESSFdkwcool,13788.852149061160162,383398.871733698295429
34,518,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1622500.000000000000000,9200.000000000000000,1622500.000000000000000,9200.000000000000000,5117791.000000000000000,5,cool,ESSFdkwcool,3220.973481897034617,58453.579279849909653
35,518,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1622500.000000000000000,9200.000000000000000,1622500.000000000000000,9200.000000000000000,5117791.000000000000000,7,warm,ESSFdkwwarm,19976.132141217447497,1179435.265161516843364
36,519,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,645000.000000000000000,8100.000000000000000,645000.000000000000000,8100.000000000000000,5122519.000000000000000,3,cool,IMAuncool,7141.017353166266730,323648.740712005877867
37,520,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,2112499.975000000093132,14100.000000000000000,2112500.000000000000000,14100.000000000000000,5122521.000000000000000,3,cool,IMAuncool,3174.840546448176156,230515.396551743557211
38,521,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1727500.000000000000000,14100.000000000000000,1727500.000000000000000,14100.000000000000000,5117789.000000000000000,3,cool,ESSFdkwcool,6602.266686655489139,123661.059113312687259
39,521,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1727500.000000000000000,14100.000000000000000,1727500.000000000000000,14100.000000000000000,5117789.000000000000000,5,cool,ESSFdkwcool,4969.647514558131661,136544.495579341950361
40,521,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1727500.000000000000000,14100.000000000000000,1727500.000000000000000,14100.000000000000000,5117789.000000000000000,7,warm,ESSFdkwwarm,21049.041641081192211,1466022.250274045160040
41,522,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1532500.000000000000000,11600.000000000000000,1532500.000000000000000,11600.000000000000000,5122513.000000000000000,3,cool,IMAuncool,7961.948120108392686,713239.385096029844135
42,523,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,200000.000000000000000,2500.000000000000000,200000.000000000000000,2500.000000000000000,5117604.000000000000000,3,cool,ESSFdkpcool,1634.227956021408545,63097.165542306589487
43,523,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,200000.000000000000000,2500.000000000000000,200000.000000000000000,2500.000000000000000,5117604.000000000000000,5,cool,ESSFdkpcool,519.808960616632476,7592.888469323321260
44,523,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,200000.000000000000000,2500.000000000000000,200000.000000000000000,2500.000000000000000,5117604.000000000000000,7,warm,ESSFdkpwarm,3077.993429877516519,129163.021371618247940
45,524,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,722500.000000000000000,6700.000000000000000,722500.000000000000000,6700.000000000000000,5122506.000000000000000,3,cool,IMAuncool,6113.746555156838440,570467.297856089426205
46,525,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,462500.000000000000000,4500.000000000000000,462500.000000000000000,4500.000000000000000,5117788.000000000000000,3,cool,ESSFdkwcool,918.602044276775246,14308.328435966248435
47,525,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,462500.000000000000000,4500.000000000000000,462500.000000000000000,4500.000000000000000,5117788.000000000000000,7,warm,ESSFdkwwarm,4626.635010866376433,447853.127683238883037
48,526,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,330000.000000000000000,4800.000000000000000,330000.000000000000000,4800.000000000000000,5122500.000000000000000,3,cool,IMAuncool,4799.167411673045535,329759.048693283286411
49,527,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1557500.000000000000000,13000.000000000000000,1557500.000000000000000,13000.000000000000000,5122508.000000000000000,3,cool,IMAuncool,4639.780327319580465,263530.459411032556091
50,527,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1557500.000000000000000,13000.000000000000000,1557500.000000000000000,13000.000000000000000,5122508.000000000000000,5,cool,IMAuncool,33.848655721069832,25.845371992422614
51,528,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1150000.000000000000000,9800.000000000000000,1150000.000000000000000,9800.000000000000000,5117786.000000000000000,3,cool,ESSFdkwcool,4961.261548167611181,150048.195244701870251
52,528,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1150000.000000000000000,9800.000000000000000,1150000.000000000000000,9800.000000000000000,5117786.000000000000000,5,cool,ESSFdkwcool,94.623751134159960,73.384978766367439
53,528,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1150000.000000000000000,9800.000000000000000,1150000.000000000000000,9800.000000000000000,5117786.000000000000000,7,warm,ESSFdkwwarm,10955.048927097002888,999042.036776712746359
54,529,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,310000.000000000000000,2900.000000000000000,310000.000000000000000,2900.000000000000000,5122503.000000000000000,3,cool,IMAuncool,1712.766340079905603,68077.093171715183416
55,530,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,237500.000000000000000,3200.000000000000000,237500.000000000000000,3200.000000000000000,5122501.000000000000000,3,cool,IMAuncool,1382.578415345671146,45323.710775087100046
56,531,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,772498.400000000023283,6999.935999999999694,772498.000000000000000,7000.000000000000000,5122486.000000000000000,3,cool,IMAuncool,7099.947006244928161,655853.253546399530023
