OID_,FID_BEC_PEM_Purcell,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Purcell,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
11,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,29,560,0.000000000000000,1934,Lightning,1934-560,12.100000000000000,linens, ,20070517130602,20070516,digitised,JA70003000,0.000000000000000,1762523.000000000000000,121727.750100000004750,1314.798000000000002,896.318429678930556,12396.128287894554887,1.239612828789455
12,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,30,433,0.000000000000000,1934,Lightning,1934-433,1292.200000000000045,linens, ,20070517130602,19340820,digitised,JA70003000,0.000000000000000,1762452.000000000000000,12922477.912200000137091,24104.304000000000087,19734.603459853427921,1560087.440815928392112,156.008744081592852
13,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,34,280,0.000000000000000,1938,Lightning,1938-280,4435.500000000000000,linens, ,20070517130602,19380807,digitised,JA70003000,0.000000000000000,1763664.000000000000000,44355290.767399996519089,56960.750699999996868,27961.212985155223578,954121.779019596637227,95.412177901959666
14,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,35,570,0.000000000000000,1936,Lightning,1936-570,759.899999999999977,linens, ,20070517130602,19360809,digitised,JA70003000,0.000000000000000,1763125.000000000000000,7599242.663999999873340,10768.344499999999243,15809.020578589981596,1269288.545524393441156,126.928854552439347
15,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,38,405,0.000000000000000,1940,Lightning,1940-405,2361.699999999999818,linens, ,20070517130609,19400710,digitised,JA70003000,0.000000000000000,1764574.000000000000000,23617661.295200001448393,41085.929100000001199,2402.584537216062472,56636.879304285408580,5.663687930428541
16,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,41,355,0.000000000000000,1946,Lightning,1946-355,57.899999999999999,linens, ,20070517130605,19460815,digitised,JA70003000,0.000000000000000,1765834.000000000000000,579934.295399999944493,2928.246700000000146,6429.332313345090370,340934.681577451468911,34.093468157745150
17,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,51,N00159,0.000000000000000,1960,Lightning,1960-N00159,218.800000000000011,mylars, ,20070517130634,19600714,digitised,JA70003000,0.000000000000000,1768045.000000000000000,2188668.838899999856949,6108.602399999999761,11932.191467169348471,934166.080428640940227,93.416608042864098
18,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,67,NJ0608,0.000000000000000,1970,Lightning,1970-NJ0608,642.299999999999955,mylars, ,20070517130630,19700824,digitised,JA70003000,0.000000000000000,1769596.000000000000000,6423494.203800000250340,15426.616099999999278,823.205070422151834,25884.193947137853684,2.588419394713786
19,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,68,N10066,0.000000000000000,1985,Lightning,1985-N10066,227.300000000000011,LFDB, ,20070517130644,19850629,digitised,JA70003000,0.000000000000000,1771680.000000000000000,2273387.674699999857694,6715.173499999999876,2963.471978429107821,178255.180002174893161,17.825518000217489
20,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,76,N10147,0.000000000000000,1996,Lightning,1996-N10147,52.600000000000001,fire centre, ,20070517130640,19960810,digitised,JA70003000,0.000000000000000,1772982.000000000000000,526474.370699999970384,3282.704499999999825,6693.309176467051657,232472.498174867883790,23.247249817486789
