OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_Historical_Fire_Perimeters_ROI,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_1,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
11,492,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,173237045.635500013828278,135143.598399999988033,173237046.000000000000000,135144.000000000000000,5121538.000000000000000,959,N30001,0.000000000000000,1984,Person,1984-N30001,28.699999999999999,mylars, ,20070517130626,19840415,digitised,JA70003000,0.000000000000000,1771500.000000000000000,287922.558000000019092,2741.729800000000068,1392.341416258311710,63017.220335088204592,6.301722033508820
12,493,435.000000000000000,ESSF,mmw, , ,NDT2,ESSFmmw,ESSFmmw,Engelmann Spruce -- Subalpine Fir,Moist Mild Woodland, , ,Ecosystems with infrequent stand-initiating events,35723577.754000000655651,255337.839999999996508,35723578.000000000000000,255338.000000000000000,5118265.000000000000000,657,576,0.000000000000000,1940,Lightning,1940-576,4117.000000000000000,linens, ,20070517130608,19400720,digitised,JA70003000,0.000000000000000,1764636.000000000000000,41170030.905900001525879,61696.015200000001641,144.836515881105527,1.367221094045243,0.000136722109405
13,515,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,33671962.945799998939037,260118.921499999996740,33671963.000000000000000,260119.000000000000000,5117610.000000000000000,91,82,0.000000000000000,1920,Lightning,1920-82,385.300000000000011,linens, ,20070517130616,19200729,digitised,JA70003000,0.000000000000000,1756608.000000000000000,3853141.885799999814481,11389.110699999999269,3183.717510989288257,258377.535338534478797,25.837753533853448
14,515,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,33671962.945799998939037,260118.921499999996740,33671963.000000000000000,260119.000000000000000,5117610.000000000000000,285,533,0.000000000000000,1926,Lightning,1926-533,7135.500000000000000,linens, ,20070517130616,19260717,digitised,JA70003000,0.000000000000000,1759354.000000000000000,71355365.002800002694130,46739.879000000000815,104.144532718348472,551.400258921320301,0.055140025892132
15,518,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1622500.000000000000000,9200.000000000000000,1622500.000000000000000,9200.000000000000000,5117791.000000000000000,488,182,0.000000000000000,1932,Lightning,1932-182,345.100000000000023,linens, ,20070517130559,19320728,digitised,JA70003000,0.000000000000000,1761457.000000000000000,3451809.569199999794364,7450.771999999999935,5563.725926193446867,601715.002189988619648,60.171500218998865
16,521,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1727500.000000000000000,14100.000000000000000,1727500.000000000000000,14100.000000000000000,5117789.000000000000000,1247,N20279,2012081301.000000000000000,2012,Lightning,2012-N20279,1.500000000000000,OZIX,20120828113934,20120828113934,20120806,GPS-TRACK,JA70003000,0.000000000000000,1775883.000000000000000,15202.631199999999808,655.962899999999991,262.277155376161090,2490.805022403754720,0.249080502240375
17,528,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1150000.000000000000000,9800.000000000000000,1150000.000000000000000,9800.000000000000000,5117786.000000000000000,696,285,0.000000000000000,1939,Lightning,1939-285,23.800000000000001,linens, ,20070517130559,19390802,digitised,JA70003000,0.000000000000000,1764217.000000000000000,237998.421899999986636,2102.967000000000098,1553.663383696809433,94251.562740662280703,9.425156274066229
18,532,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,310000.000000000000000,4100.000000000000000,310000.000000000000000,4100.000000000000000,5122493.000000000000000,285,533,0.000000000000000,1926,Lightning,1926-533,7135.500000000000000,linens, ,20070517130616,19260717,digitised,JA70003000,0.000000000000000,1759354.000000000000000,71355365.002800002694130,46739.879000000000815,828.340895994869925,30639.435806194353063,3.063943580619435
19,537,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,964995.775000000023283,7899.831199999999626,964996.000000000000000,7900.000000000000000,5122457.000000000000000,263,646,0.000000000000000,1925,Lightning,1925-646,3040.000000000000000,linens, ,20070517130616,19250729,digitised,JA70003000,0.000000000000000,1758905.000000000000000,30400097.940900001674891,22019.314999999998690,3443.950692762618928,351706.010205985861830,35.170601020598589
20,538,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,385000.000000000000000,4200.000000000000000,385000.000000000000000,4200.000000000000000,5122450.000000000000000,263,646,0.000000000000000,1925,Lightning,1925-646,3040.000000000000000,linens, ,20070517130616,19250729,digitised,JA70003000,0.000000000000000,1758905.000000000000000,30400097.940900001674891,22019.314999999998690,4156.380274420670503,291798.820079691940919,29.179882007969194
21,539,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,150000.000000000000000,2900.000000000000000,150000.000000000000000,2900.000000000000000,5122444.000000000000000,263,646,0.000000000000000,1925,Lightning,1925-646,3040.000000000000000,linens, ,20070517130616,19250729,digitised,JA70003000,0.000000000000000,1758905.000000000000000,30400097.940900001674891,22019.314999999998690,2721.985943354641677,124792.642651609814493,12.479264265160982
22,546,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,26063493.651200000196695,58915.792600000000675,26063493.000000000000000,58916.000000000000000,5121531.000000000000000,86,77,0.000000000000000,1920,Person,1920-77,1185.500000000000000,linens, ,20070517130618,19200809,digitised,JA70003000,0.000000000000000,1756593.000000000000000,11854996.155799999833107,13762.754600000000210,593.872287010892251,3836.817571550859157,0.383681757155086
23,546,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,26063493.651200000196695,58915.792600000000675,26063493.000000000000000,58916.000000000000000,5121531.000000000000000,354,394,0.000000000000000,1929,Lightning,1929-394,3233.199999999999818,linens, ,20070517130618,19290718,digitised,JA70003000,0.000000000000000,1760047.000000000000000,32332027.191500000655651,26946.932400000001508,3745.450001910781793,154514.910449809773127,15.451491044980978
24,574,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,2606250.000000000000000,7552.691200000000208,2606250.000000000000000,7553.000000000000000,5117377.000000000000000,134,31,0.000000000000000,1921,Person,1921-31,83.799999999999997,linens, ,20070517130616,19210604,digitised,JA70003000,0.000000000000000,1756712.000000000000000,838341.821099999942817,4896.405099999999948,1209.208698709755708,68944.467622464930173,6.894446762246494
25,574,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,2606250.000000000000000,7552.691200000000208,2606250.000000000000000,7553.000000000000000,5117377.000000000000000,842,N00090,0.000000000000000,1961,Lightning,1961-N00090,17.399999999999999,Buffered_Point, ,20070517130644,19610618,buffered_point,JA70003000,0.000000000000000,1768370.000000000000000,174610.143600000010338,1539.815700000000106,1307.640697585846056,107543.236815710755764,10.754323681571076
26,590,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,36742498.592000000178814,264099.588899999973364,36742499.000000000000000,264100.000000000000000,5117787.000000000000000,263,646,0.000000000000000,1925,Lightning,1925-646,3040.000000000000000,linens, ,20070517130616,19250729,digitised,JA70003000,0.000000000000000,1758905.000000000000000,30400097.940900001674891,22019.314999999998690,54026.133740186531213,6718771.246717697009444,671.877124671769707
27,590,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,36742498.592000000178814,264099.588899999973364,36742499.000000000000000,264100.000000000000000,5117787.000000000000000,1114,N20145,2007080201.000000000000000,2007,Lightning,2007-N20145,0.800000000000000,OZIX,20070802205026,20070802145152,20070714,GPS_TRACK,JA70003000,0.000000000000000,1774134.000000000000000,8463.232900000000882,371.564500000000010,371.519527219493398,8457.314515453492277,0.845731451545349
