OID_,FID_BEC_PEM_Kootenay_North,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Kootenay_North,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
157,193,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,4,cool,ESSFdkwcool,39,N20062,0.000000000000000,1985,Lightning,1985-N20062,4210.500000000000000,LFDB, ,20070517130643,19850710,digitised,JA70003000,0.000000000000000,1771697.000000000000000,42105154.842100001871586,37558.530299999998533,31970.766091495195724,3557485.073439711704850,355.748507343971198
158,193,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,4,cool,ESSFdkwcool,41,N20059,0.000000000000000,1987,Person,1987-N20059,77.099999999999994,Buffered_Point, ,20070517130645,19871001,buffered_point,JA70003000,0.000000000000000,1772056.000000000000000,771178.668799999984913,3233.809000000000196,425.523312074116291,6203.799690136657773,0.620379969013666
159,193,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,4,cool,ESSFdkwcool,57,N20321,0.000000000000000,2003,Lightning,2003-N20321,10734.100000000000364,LANDSAT5, ,20070517150823,20030731,Also Includes N20267,JA70003000,0.000000000000000,1773463.000000000000000,107341783.464000001549721,112373.783699999999953,130770.231176667468389,14770565.936270374804735,1477.056593627037500
160,193,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,4,cool,ESSFdkwcool,58,N20658,0.000000000000000,2003,Lightning,2003-N20658,170.199999999999989,LANDSAT5, ,20070517150823,20030811,digitized,JA70003000,0.000000000000000,1773464.000000000000000,1702798.776400000089779,8502.599799999999959,9747.006558151319041,847500.096997055574320,84.750009699705558
161,193,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,4,cool,ESSFdkwcool,80,N21628,2017091502.000000000000000,2017,Lightning,2017-N21628,26399.000000000000000,2017 ROLLOVER,20170915,20170916103105,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777457.000000000000000,263990540.464399993419647,186311.863000000012107,47457.458385121906758,4192479.099101656116545,419.247909910165617
162,194,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,5,cool,ESSFdkwcool,39,N20062,0.000000000000000,1985,Lightning,1985-N20062,4210.500000000000000,LFDB, ,20070517130643,19850710,digitised,JA70003000,0.000000000000000,1771697.000000000000000,42105154.842100001871586,37558.530299999998533,19.519156438273868,5.364170277433999,0.000536417027743
163,194,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,5,cool,ESSFdkwcool,57,N20321,0.000000000000000,2003,Lightning,2003-N20321,10734.100000000000364,LANDSAT5, ,20070517150823,20030731,Also Includes N20267,JA70003000,0.000000000000000,1773463.000000000000000,107341783.464000001549721,112373.783699999999953,1473.120812806014328,12355.266167813902939,1.235526616781390
164,194,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,5,cool,ESSFdkwcool,80,N21628,2017091502.000000000000000,2017,Lightning,2017-N21628,26399.000000000000000,2017 ROLLOVER,20170915,20170916103105,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777457.000000000000000,263990540.464399993419647,186311.863000000012107,148.835418929317143,989.154551645854781,0.098915455164585
165,195,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,6,warm,ESSFdkwwarm,80,N21628,2017091502.000000000000000,2017,Lightning,2017-N21628,26399.000000000000000,2017 ROLLOVER,20170915,20170916103105,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777457.000000000000000,263990540.464399993419647,186311.863000000012107,13124.269839694194161,130896.355744365675491,13.089635574436569
166,196,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,7,warm,ESSFdkwwarm,39,N20062,0.000000000000000,1985,Lightning,1985-N20062,4210.500000000000000,LFDB, ,20070517130643,19850710,digitised,JA70003000,0.000000000000000,1771697.000000000000000,42105154.842100001871586,37558.530299999998533,13223.381979374828006,124529.725202990637626,12.452972520299065
167,196,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,7,warm,ESSFdkwwarm,41,N20059,0.000000000000000,1987,Person,1987-N20059,77.099999999999994,Buffered_Point, ,20070517130645,19871001,buffered_point,JA70003000,0.000000000000000,1772056.000000000000000,771178.668799999984913,3233.809000000000196,161.694128472084344,537.142494129226066,0.053714249412923
168,196,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,7,warm,ESSFdkwwarm,57,N20321,0.000000000000000,2003,Lightning,2003-N20321,10734.100000000000364,LANDSAT5, ,20070517150823,20030731,Also Includes N20267,JA70003000,0.000000000000000,1773463.000000000000000,107341783.464000001549721,112373.783699999999953,52520.967321538439137,830374.037596599082462,83.037403759659909
169,196,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,7,warm,ESSFdkwwarm,58,N20658,0.000000000000000,2003,Lightning,2003-N20658,170.199999999999989,LANDSAT5, ,20070517150823,20030811,digitized,JA70003000,0.000000000000000,1773464.000000000000000,1702798.776400000089779,8502.599799999999959,3552.414977214972168,38354.793533516720345,3.835479353351672
170,196,619,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,202500546.169699996709824,1166769.736199999926612,202500546.000000000000000,1166770.000000000000000,5117783.000000000000000,7,warm,ESSFdkwwarm,80,N21628,2017091502.000000000000000,2017,Lightning,2017-N21628,26399.000000000000000,2017 ROLLOVER,20170915,20170916103105,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777457.000000000000000,263990540.464399993419647,186311.863000000012107,7292.602683544516367,66034.553314405740821,6.603455331440575
171,206,623,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,6685000.000000000000000,41700.000000000000000,6685000.000000000000000,41700.000000000000000,5117779.000000000000000,4,cool,ESSFdkwcool,8,421,0.000000000000000,1925,Lightning,1925-421,314.800000000000011,linens, ,20070517130616,19250712,digitised,JA70003000,0.000000000000000,1758757.000000000000000,3148230.538499999791384,6763.332500000000437,4788.717153823182343,190527.759131554135820,19.052775913155415
172,206,623,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,6685000.000000000000000,41700.000000000000000,6685000.000000000000000,41700.000000000000000,5117779.000000000000000,4,cool,ESSFdkwcool,81,N21945,2017083101.000000000000000,2017,Lightning,2017-N21945,202.500000000000000,2017 ROLLOVER,20170831,20170831114910,20170810,Hand sketch of any type,JA70003000,0.000000000000000,1777458.000000000000000,2025171.328599999891594,8816.583300000000236,5653.640781565749421,868092.683316908311099,86.809268331690831
173,207,623,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,6685000.000000000000000,41700.000000000000000,6685000.000000000000000,41700.000000000000000,5117779.000000000000000,7,warm,ESSFdkwwarm,8,421,0.000000000000000,1925,Lightning,1925-421,314.800000000000011,linens, ,20070517130616,19250712,digitised,JA70003000,0.000000000000000,1758757.000000000000000,3148230.538499999791384,6763.332500000000437,344.103829803240046,2449.924367126284324,0.244992436712628
174,213,626,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,82236447.972800001502037,711101.630099999951199,82236448.000000000000000,711102.000000000000000,5117585.000000000000000,4,cool,ESSFdkpcool,57,N20321,0.000000000000000,2003,Lightning,2003-N20321,10734.100000000000364,LANDSAT5, ,20070517150823,20030731,Also Includes N20267,JA70003000,0.000000000000000,1773463.000000000000000,107341783.464000001549721,112373.783699999999953,23092.163039179926272,565018.979171885293908,56.501897917188529
175,213,626,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,82236447.972800001502037,711101.630099999951199,82236448.000000000000000,711102.000000000000000,5117585.000000000000000,4,cool,ESSFdkpcool,58,N20658,0.000000000000000,2003,Lightning,2003-N20658,170.199999999999989,LANDSAT5, ,20070517150823,20030811,digitized,JA70003000,0.000000000000000,1773464.000000000000000,1702798.776400000089779,8502.599799999999959,4491.901298787341148,130076.853525917773368,13.007685352591778
176,215,626,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,82236447.972800001502037,711101.630099999951199,82236448.000000000000000,711102.000000000000000,5117585.000000000000000,7,warm,ESSFdkpwarm,57,N20321,0.000000000000000,2003,Lightning,2003-N20321,10734.100000000000364,LANDSAT5, ,20070517150823,20030731,Also Includes N20267,JA70003000,0.000000000000000,1773463.000000000000000,107341783.464000001549721,112373.783699999999953,927.246093137878461,4452.731475581434097,0.445273147558143
177,228,639,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,30823461.449099998921156,64899.514400000000023,30823461.000000000000000,64900.000000000000000,5121527.000000000000000,3,cool,ICHmk5cool,18,286,0.000000000000000,1934,Lightning,1934-286,1713.900000000000091,linens, ,20070517130600,19340728,digitised,JA70003000,0.000000000000000,1762282.000000000000000,17139265.911299999803305,19289.628899999999703,1918.913187196749959,14192.915436802204567,1.419291543680220
178,229,639,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,30823461.449099998921156,64899.514400000000023,30823461.000000000000000,64900.000000000000000,5121527.000000000000000,7,warm,ICHmk5warm,18,286,0.000000000000000,1934,Lightning,1934-286,1713.900000000000091,linens, ,20070517130600,19340728,digitised,JA70003000,0.000000000000000,1762282.000000000000000,17139265.911299999803305,19289.628899999999703,1710.695658312522482,94369.054786720444099,9.436905478672045
179,230,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,3,cool,ESSFdk2cool,19,286,0.000000000000000,1934,Lightning,1934-286,5440.699999999999818,linens, ,20070517130600,19340728,digitised,JA70003000,0.000000000000000,1762283.000000000000000,54407103.809000000357628,40393.784599999999045,33288.939882542807027,3100647.502594905439764,310.064750259490552
180,231,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,4,cool,ESSFdk2cool,11,719,0.000000000000000,1929,Lightning,1929-719,504.199999999999989,linens, ,20070517130618,19290812,digitised,JA70003000,0.000000000000000,1760182.000000000000000,5042391.292500000447035,14171.389900000000125,8880.856868122651576,256655.875260486092884,25.665587526048611
181,231,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,4,cool,ESSFdk2cool,19,286,0.000000000000000,1934,Lightning,1934-286,5440.699999999999818,linens, ,20070517130600,19340728,digitised,JA70003000,0.000000000000000,1762283.000000000000000,54407103.809000000357628,40393.784599999999045,59775.588652340644330,7423293.202921757474542,742.329320292175794
182,231,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,4,cool,ESSFdk2cool,34,NE0059,0.000000000000000,1970,Person,1970-NE0059,869.799999999999955,mylars, ,20070517130630,19700501,digitised,JA70003000,0.000000000000000,1769584.000000000000000,8698226.505699999630451,15142.913300000000163,3154.189932328688883,136553.711614135536365,13.655371161413555
183,231,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,4,cool,ESSFdk2cool,45,N20157,0.000000000000000,2001,Lightning,2001-N20157,22.699999999999999,LANDSAT7, ,20070517150824,20010705,Area 2 of 2,JA70003000,0.000000000000000,1773366.000000000000000,227660.665999999997439,2770.821899999999914,706.249191511629988,4937.879910008933621,0.493787991000893
184,231,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,4,cool,ESSFdk2cool,46,N20476,0.000000000000000,2001,Lightning,2001-N20476,1063.299999999999955,LANDSAT7, ,20070517150824,20010817,Area 1 of 2 partially in shadow; difficult to see,JA70003000,0.000000000000000,1773367.000000000000000,10633355.752900000661612,31511.340400000000955,31772.544184995545947,2790963.526276510208845,279.096352627651015
185,231,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,4,cool,ESSFdk2cool,47,N20476,0.000000000000000,2001,Lightning,2001-N20476,310.000000000000000,LANDSAT7, ,20070517150824,20010817,Area 2 of 2.,JA70003000,0.000000000000000,1773368.000000000000000,3100693.518499999772757,12640.797399999999470,5259.833537454748694,534841.447536343825050,53.484144753634382
186,231,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,4,cool,ESSFdk2cool,69,N20626,2012100202.000000000000000,2012,Lightning,2012-N20626,431.399999999999977,OZIX,20121002,20121003095737,20120925,GPS-TRACK,JA70003000,0.000000000000000,1775888.000000000000000,4314630.637900000438094,12438.015600000000632,2341.561714859637050,38106.078243057781947,3.810607824305778
187,231,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,4,cool,ESSFdk2cool,72,N20200,2014081301.000000000000000,2014,Lightning,2014-N20200,1966.900000000000091,OZIX,20140813,20140815110229,20140727,GPS-TRACK,JA70003000,0.000000000000000,1776525.000000000000000,19669547.518800001591444,27381.824199999999109,7357.155370796415809,457646.752488858648576,45.764675248885865
188,232,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,5,cool,ESSFdk2cool,11,719,0.000000000000000,1929,Lightning,1929-719,504.199999999999989,linens, ,20070517130618,19290812,digitised,JA70003000,0.000000000000000,1760182.000000000000000,5042391.292500000447035,14171.389900000000125,600.282634478741102,5004.019582011348575,0.500401958201135
189,232,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,5,cool,ESSFdk2cool,19,286,0.000000000000000,1934,Lightning,1934-286,5440.699999999999818,linens, ,20070517130600,19340728,digitised,JA70003000,0.000000000000000,1762283.000000000000000,54407103.809000000357628,40393.784599999999045,2401.079465815256754,34335.042467209925235,3.433504246720993
190,232,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,5,cool,ESSFdk2cool,46,N20476,0.000000000000000,2001,Lightning,2001-N20476,1063.299999999999955,LANDSAT7, ,20070517150824,20010817,Area 1 of 2 partially in shadow; difficult to see,JA70003000,0.000000000000000,1773367.000000000000000,10633355.752900000661612,31511.340400000000955,1376.417779709975548,10529.806132437677661,1.052980613243768
191,232,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,5,cool,ESSFdk2cool,47,N20476,0.000000000000000,2001,Lightning,2001-N20476,310.000000000000000,LANDSAT7, ,20070517150824,20010817,Area 2 of 2.,JA70003000,0.000000000000000,1773368.000000000000000,3100693.518499999772757,12640.797399999999470,63.279066677320458,159.260736558654372,0.015926073655865
192,232,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,5,cool,ESSFdk2cool,72,N20200,2014081301.000000000000000,2014,Lightning,2014-N20200,1966.900000000000091,OZIX,20140813,20140815110229,20140727,GPS-TRACK,JA70003000,0.000000000000000,1776525.000000000000000,19669547.518800001591444,27381.824199999999109,1615.508123737612550,75089.376777799552656,7.508937677779955
193,233,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,6,warm,ESSFdk2warm,11,719,0.000000000000000,1929,Lightning,1929-719,504.199999999999989,linens, ,20070517130618,19290812,digitised,JA70003000,0.000000000000000,1760182.000000000000000,5042391.292500000447035,14171.389900000000125,11331.492870621317707,792957.083710471168160,79.295708371047127
194,233,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,6,warm,ESSFdk2warm,19,286,0.000000000000000,1934,Lightning,1934-286,5440.699999999999818,linens, ,20070517130600,19340728,digitised,JA70003000,0.000000000000000,1762283.000000000000000,54407103.809000000357628,40393.784599999999045,62159.866845108088455,1998532.408116960898042,199.853240811696111
195,233,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,6,warm,ESSFdk2warm,34,NE0059,0.000000000000000,1970,Person,1970-NE0059,869.799999999999955,mylars, ,20070517130630,19700501,digitised,JA70003000,0.000000000000000,1769584.000000000000000,8698226.505699999630451,15142.913300000000163,3013.432202537856028,70284.827130387202487,7.028482713038721
196,233,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,6,warm,ESSFdk2warm,44,N20157,0.000000000000000,2001,Lightning,2001-N20157,204.900000000000006,LANDSAT7, ,20070517150824,20010705,Area 1 of 2,JA70003000,0.000000000000000,1773365.000000000000000,2049401.500999999931082,11126.341200000000754,878.891911467448949,34817.332642148656305,3.481733264214866
197,233,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,6,warm,ESSFdk2warm,45,N20157,0.000000000000000,2001,Lightning,2001-N20157,22.699999999999999,LANDSAT7, ,20070517150824,20010705,Area 2 of 2,JA70003000,0.000000000000000,1773366.000000000000000,227660.665999999997439,2770.821899999999914,2633.436704846908924,96807.243097400511033,9.680724309740052
198,233,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,6,warm,ESSFdk2warm,46,N20476,0.000000000000000,2001,Lightning,2001-N20476,1063.299999999999955,LANDSAT7, ,20070517150824,20010817,Area 1 of 2 partially in shadow; difficult to see,JA70003000,0.000000000000000,1773367.000000000000000,10633355.752900000661612,31511.340400000000955,26682.258368809303647,1925643.596818630117923,192.564359681863010
199,233,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,6,warm,ESSFdk2warm,47,N20476,0.000000000000000,2001,Lightning,2001-N20476,310.000000000000000,LANDSAT7, ,20070517150824,20010817,Area 2 of 2.,JA70003000,0.000000000000000,1773368.000000000000000,3100693.518499999772757,12640.797399999999470,1968.850200395722823,26418.472618476371281,2.641847261847637
200,233,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,6,warm,ESSFdk2warm,69,N20626,2012100202.000000000000000,2012,Lightning,2012-N20626,431.399999999999977,OZIX,20121002,20121003095737,20120925,GPS-TRACK,JA70003000,0.000000000000000,1775888.000000000000000,4314630.637900000438094,12438.015600000000632,3052.979367998578255,46038.614206969301449,4.603861420696930
201,233,679,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,70234038.329500004649162,225773.177900000009686,70234038.000000000000000,225773.000000000000000,5117375.000000000000000,6,warm,ESSFdk2warm,72,N20200,2014081301.000000000000000,2014,Lightning,2014-N20200,1966.900000000000091,OZIX,20140813,20140815110229,20140727,GPS-TRACK,JA70003000,0.000000000000000,1776525.000000000000000,19669547.518800001591444,27381.824199999999109,8404.572384265387882,239661.172827150818193,23.966117282715082
202,234,680,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,36729597.739900000393391,241467.244799999985844,36729598.000000000000000,241467.000000000000000,5117761.000000000000000,3,cool,ESSFdkwcool,19,286,0.000000000000000,1934,Lightning,1934-286,5440.699999999999818,linens, ,20070517130600,19340728,digitised,JA70003000,0.000000000000000,1762283.000000000000000,54407103.809000000357628,40393.784599999999045,5435.033583680215997,868875.045184154296294,86.887504518415440
