Zone,Region_Name,Aspect,mean_fs_BEC,mean_fs_BEC.aspect,min_fs_BEC,min_fs_BEC.aspect,max_fs_BEC,max_fs_BEC.aspect,Ignition_prob,Ignition_prob_aspect,FRI,FRI.aspect,fire_severity
Kootenay North,ICHmk5,warm,10,70,10,5,5000,5000,0.0001,0.0001,150,70,Mixed
Kootenay North,ICHmk6,cool,10,70,10,1,5000,1000,0.0001,0.0001,150,70,Mixed
Kootenay North,IMAun,warm,50,0,10,0,5000,0,0.0001,0,350,0,
Kootenay North,IMAun,cool,50,0,10,0,5000,0,0.0001,0,350,0,
Kootenay North,MSdk,warm,20,70,2,2,1000,5000,0.0001,0.001,120,70,Mixed
Kootenay North,MSdk,cool,20,70,2,1,1000,1000,0.0001,0.001,120,70,Mixed
Kootenay South,ESSFdk1,warm,100,70,10,5,2000,300,0.0001,0.0001,150,150,High
Kootenay South,ESSFdk2,cool,100,50,10,1,2000,100,0.0001,0.00005,150,250,High
Kootenay South,ESSFdkw,warm,100,50,10,1,2000,200,0.0001,0.0001,400,200,High
Kootenay South,ESSFdkw,cool,100,30,10,0,2000,75,0.0001,0.00005,400,400,High
Kootenay South,ESSFwm4,warm,100,70,10,5,2000,300,0.0001,0.0001,150,150,High
Kootenay South,ESSFwm5,cool,100,50,10,1,2000,100,0.0001,0.00005,150,250,High
Kootenay South,ESSFwmp,warm,100,50,10,1,2000,200,0.0001,0.0001,400,200,High
Kootenay South,ESSFwmp,cool,100,30,10,0,2000,75,0.0001,0.00005,400,400,High
Kootenay South,ICHdm,warm,10,10,10,5,5000,300,0.0001,0.0001,150,50,Mixed
Kootenay South,ICHdm,cool,10,5,10,1,5000,150,0.0001,0.0001,150,70,Mixed
Kootenay South,ICHdw1,warm,10,10,10,5,5000,300,0.0001,0.0001,150,50,Mixed
Kootenay South,ICHdw2,cool,10,5,10,1,5000,150,0.0001,0.0001,150,70,Mixed
Kootenay South,ICHmk4,warm,10,10,10,5,5000,300,0.0001,0.0001,150,50,Mixed
Kootenay South,ICHmk5,cool,10,5,10,1,5000,150,0.0001,0.0001,150,70,Mixed
Kootenay South,IDFdm2,warm,10,50,2,3,100,500,0.001,0.001,50,10,Low
Kootenay South,IDFdm3,cool,10,50,2,3,100,500,0.001,0.001,50,10,Low
Kootenay South,IDFxx2,warm,10,50,2,3,100,500,0.001,0.001,25,7,Low
Kootenay South,IDFxx3,cool,10,50,2,3,100,500,0.001,0.001,25,7,Low
Kootenay South,IMAun,warm,50,0,10,0,5000,0,0.0001,0,350,0,
Kootenay South,IMAun,cool,50,0,10,0,5000,0,0.0001,0,350,0,
Kootenay South,MSdw,warm,20,30,2,2,1000,400,0.0001,0.001,120,30,Mixed
Kootenay South,MSdw,cool,20,30,2,1,1000,250,0.0001,0.001,120,30,Mixed
Elk,ESSFdk1,warm,100,70,10,5,2000,2000,0.0001,0.0001,150,120,High
Elk,ESSFdk2,cool,100,50,10,1,2000,500,0.0001,0.00005,150,250,High
Elk,ESSFdk2,warm,100,70,10,5,2000,2000,0.0001,0.0001,150,150,High
Elk,ESSFdk3,cool,100,50,10,1,2000,500,0.0001,0.00005,150,250,High
Elk,ESSFdkp,warm,100,50,10,1,2000,1000,0.0001,0.0001,400,200,High
Elk,ESSFdkp,cool,100,30,10,0,2000,300,0.0001,0.00005,400,400,High
Elk,ESSFdkw,warm,100,50,10,1,2000,1000,0.0001,0.0001,400,200,High
Elk,ESSFdkw,cool,100,30,10,0,2000,300,0.0001,0.00005,400,400,High
Elk,ESSFwm1,warm,100,50,10,1,2000,200,0.0001,0.0001,400,200,High
Elk,ESSFwm2,cool,100,30,10,0,2000,75,0.0001,0.00005,400,400,High
Elk,ESSFwmp,warm,100,50,10,1,2000,1000,0.0001,0.0001,400,200,High
Elk,ESSFwmp,cool,100,30,10,0,2000,300,0.0001,0.00005,400,400,High
Elk,ESSFwmw,warm,100,50,10,1,2000,1000,0.0001,0.0001,400,200,High
Elk,ESSFwmw,cool,100,30,10,0,2000,300,0.0001,0.00005,400,400,High
Elk,ICHdm,warm,10,70,10,5,5000,5000,0.0001,0.0001,150,50,Mixed
Elk,ICHdm,cool,10,50,10,1,5000,1000,0.0001,0.0001,150,70,Mixed
Elk,ICHmk4,warm,10,70,10,5,5000,5000,0.0001,0.0001,150,50,Mixed
Elk,ICHmk5,cool,10,50,10,1,5000,1000,0.0001,0.0001,150,70,Mixed
Elk,IMAun,warm,50,0,10,0,5000,0,0.0001,0,350,0,
Elk,IMAun,cool,50,0,10,0,5000,0,0.0001,0,350,0,
Elk,MSdk,warm,20,50,2,2,1000,5000,0.0001,0.001,120,50,Mixed
Elk,MSdk,cool,20,30,2,1,1000,1000,0.0001,0.001,120,70,Mixed
Elk,MSdw,warm,20,50,2,2,1000,5000,0.0001,0.001,120,50,Mixed
Elk,MSdw,cool,20,30,2,1,1000,1000,0.0001,0.001,120,70,Mixed
