OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area
18,85,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1117139.509099999908358,7128.840799999999945,1117140.000000000000000,7129.000000000000000,5122025.000000000000000,2,cool,IMAuncool,8114.091814443767362,1113343.078934318618849
19,86,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,290000.000000000000000,2900.000000000000000,290000.000000000000000,2900.000000000000000,5117472.000000000000000,2,cool,ESSFdkpcool,2899.258220248764701,289860.634167760494165
20,87,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,4794136.055499999783933,37539.354399999996531,4794136.000000000000000,37539.000000000000000,5120908.000000000000000,2,cool,ESSFwmpcool,21837.469413004040689,1978658.048851213883609
21,87,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,4794136.055499999783933,37539.354399999996531,4794136.000000000000000,37539.000000000000000,5120908.000000000000000,5,cool,ESSFwmpcool,941.670542407609560,5964.850640938295328
22,87,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,4794136.055499999783933,37539.354399999996531,4794136.000000000000000,37539.000000000000000,5120908.000000000000000,6,warm,ESSFwmpwarm,13037.484514044721436,237060.246528943185695
23,88,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3678879.569600000046194,39439.148699999997916,3678880.000000000000000,39439.000000000000000,5117489.000000000000000,2,cool,ESSFdkpcool,40555.606105406230199,3637666.215359865687788
24,88,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3678879.569600000046194,39439.148699999997916,3678880.000000000000000,39439.000000000000000,5117489.000000000000000,6,warm,ESSFdkpwarm,3345.479988246384892,39309.671055960228841
25,90,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,12457534.536399999633431,83655.244800000000396,12457535.000000000000000,83655.000000000000000,5120912.000000000000000,2,cool,ESSFwmpcool,46770.026829230555450,5131501.164691582322121
26,90,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,12457534.536399999633431,83655.244800000000396,12457535.000000000000000,83655.000000000000000,5120912.000000000000000,5,cool,ESSFwmpcool,99.976849845321240,624.710630537261295
27,90,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,12457534.536399999633431,83655.244800000000396,12457535.000000000000000,83655.000000000000000,5120912.000000000000000,6,warm,ESSFwmpwarm,15756.109917699344805,287927.192755118012428
28,91,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,460000.000000000000000,4700.000000000000000,460000.000000000000000,4700.000000000000000,5122058.000000000000000,2,cool,IMAuncool,4699.039394792538587,459789.222319837426767
29,92,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,2562220.705399999860674,19092.661000000000058,2562221.000000000000000,19093.000000000000000,5122048.000000000000000,2,cool,IMAuncool,33425.409704689445789,2084977.833655912429094
30,92,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,2562220.705399999860674,19092.661000000000058,2562221.000000000000000,19093.000000000000000,5122048.000000000000000,5,cool,IMAuncool,2219.986412591369572,30794.621054826999170
