OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area,Calculate_Area_Ha
196,1080,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,66732919.801100000739098,521245.509199999971315,66732920.000000000000000,521246.000000000000000,5117797.000000000000000,3,cool,ESSFdkwcool,331965.907904138264712,6846111.164062064141035,684.611116406206406
197,1080,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,66732919.801100000739098,521245.509199999971315,66732920.000000000000000,521246.000000000000000,5117797.000000000000000,5,cool,ESSFdkwcool,35770.706052816327428,747525.598777939449064,74.752559877793942
198,1080,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,66732919.801100000739098,521245.509199999971315,66732920.000000000000000,521246.000000000000000,5117797.000000000000000,7,warm,ESSFdkwwarm,304214.099100246967282,10448485.684350244700909,1044.848568435024617
199,1081,435.000000000000000,ESSF,mmp, , ,NDT5,ESSFmmp,ESSFmmp,Engelmann Spruce -- Subalpine Fir,Moist Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,19376987.064599998295307,134506.202400000009220,19376987.000000000000000,134506.000000000000000,5118199.000000000000000,3,cool,ESSFmmpcool,5705.486155395042260,48.991662778469504,0.004899166277847
200,1081,435.000000000000000,ESSF,mmp, , ,NDT5,ESSFmmp,ESSFmmp,Engelmann Spruce -- Subalpine Fir,Moist Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,19376987.064599998295307,134506.202400000009220,19376987.000000000000000,134506.000000000000000,5118199.000000000000000,7,warm,ESSFmmpwarm,199.020112717661306,1.851468144824139,0.000185146814482
201,1082,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,11150290.985300000756979,89953.925700000007055,11150291.000000000000000,89954.000000000000000,5117628.000000000000000,3,cool,ESSFdkpcool,29919.280366326889634,2550107.566821759566665,255.010756682175980
202,1082,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,11150290.985300000756979,89953.925700000007055,11150291.000000000000000,89954.000000000000000,5117628.000000000000000,5,cool,ESSFdkpcool,84.376384714199816,101.835744623874021,0.010183574462387
203,1082,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,11150290.985300000756979,89953.925700000007055,11150291.000000000000000,89954.000000000000000,5117628.000000000000000,7,warm,ESSFdkpwarm,1118.085175621820099,3234.182230470459217,0.323418223047046
204,1083,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,380384833.249199986457825,264552.210800000000745,380384833.000000000000000,264552.000000000000000,5125158.000000000000000,3,cool,MSdkcool,864933.284860500134528,250488539.854574054479599,25048.853985457408271
205,1083,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,380384833.249199986457825,264552.210800000000745,380384833.000000000000000,264552.000000000000000,5125158.000000000000000,5,cool,MSdkcool,38764.284075144285453,3327868.087727971374989,332.786808772797144
206,1083,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,380384833.249199986457825,264552.210800000000745,380384833.000000000000000,264552.000000000000000,5125158.000000000000000,7,warm,MSdkwarm,547068.078528507729061,66731556.790160298347473,6673.155679016030263
