OID_,MAP_LABEL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,ICHmw2,1,32861.000000000000000,29574900.000000000000000,0.003717027604580,0.003731608856469,0.000014581251889,0.003723181305674,0.000002629401796,122.347460885765017,0.003722585039213,0.003727412782609
2,IMAun,2,14124.000000000000000,12711600.000000000000000,0.002964754123241,0.003020585281774,0.000055831158534,0.002992006114485,0.000018368546572,42.259094360982992,0.003000675234944,0.003012593300082
3,ESSFwmp,3,95951.000000000000000,86355900.000000000000000,0.003594489535317,0.003634376684204,0.000039887148887,0.003615913509261,0.000007930122565,346.950517127055775,0.003615742083639,0.003626405494288
4,ESSFdkp,4,150477.000000000000000,135429300.000000000000000,0.004693417344242,0.004797825124115,0.000104407779872,0.004737425367554,0.000019334836854,712.873557033478619,0.004741253796965,0.004757776390761
5,ESSFwh2,5,109378.000000000000000,98440200.000000000000000,0.003738526022062,0.003773468546569,0.000034942524508,0.003755682546330,0.000007236877822,410.789045552490393,0.003755634767003,0.003764607780613
6,ESSFwm2,6,300120.000000000000000,270108000.000000000000000,0.003098456189036,0.003133095335215,0.000034639146179,0.003116197410764,0.000006019569129,935.233166918387951,0.003115634201095,0.003125144401565
7,ESSFwmw,7,184995.000000000000000,166495500.000000000000000,0.003618855262175,0.005074715707451,0.001455860445276,0.005049227207174,0.000011131608473,934.081787191106287,0.005047825165093,0.005063819698989
8,MSdk,8,419539.000000000000000,377585100.000000000000000,0.015246900729835,0.015559433959424,0.000312533229589,0.015409037683310,0.000061735904880,6464.692260618310684,0.015407455153763,0.015496893040836
9,ESSFdkw,9,413730.000000000000000,372357000.000000000000000,0.005581260658801,0.005717184860259,0.000135924201459,0.005636789326840,0.000022442819928,2332.108848193684480,0.005638100206852,0.005662733782083
10,MSdw,10,111822.000000000000000,100639800.000000000000000,0.018068926408887,0.018329083919525,0.000260157510638,0.018182003930639,0.000046023105411,2033.148043531944268,0.018185067921877,0.018234468810260
11,ESSFdk1,11,118877.000000000000000,106989300.000000000000000,0.008563495241106,0.008688856847584,0.000125361606479,0.008615640661166,0.000020401060284,1024.201514877376894,0.008612977340817,0.008640854991972
12,ICHdm,13,68908.000000000000000,62017200.000000000000000,0.013270802795887,0.013328726403415,0.000057923607528,0.013297509852412,0.000013846300149,916.304808910005136,0.013292773161083,0.013320230506361
13,IDFdm2,14,89105.000000000000000,80194500.000000000000000,0.047820623964071,0.048268646001816,0.000448022037745,0.048018948137627,0.000097181353442,4278.728373803217437,0.048003047704697,0.048153942823410
14,ICHmk5,15,50893.000000000000000,45803700.000000000000000,0.017250461503863,0.017384925857186,0.000134464353323,0.017332371739885,0.000047826087213,882.096394957964094,0.017345011234283,0.017376530915499
15,ESSFmmw,16,178779.000000000000000,160901100.000000000000000,0.002242757473141,0.002276497660205,0.000033740187064,0.002254929707113,0.000007634560929,403.134078108008509,0.002255607629195,0.002265389449894
16,ESSFdk2,17,848737.000000000000000,763863300.000000000000000,0.007451768964529,0.007650687359273,0.000198918394744,0.007537919926458,0.000033722826764,6397.711544622257861,0.007545504719019,0.007575954589993
17,ESSFmm3,18,421042.000000000000000,378937800.000000000000000,0.003487762529403,0.003540083533153,0.000052321003750,0.003509703572002,0.000010695293507,1477.732611362823036,0.003511021612212,0.003522899909876
18,IDFxk,19,364.000000000000000,327600.000000000000000,0.047385718673468,0.047397952526808,0.000012233853340,0.047392766851072,0.000002962499365,17.250967133790265,0.047392783686519,0.047396828979254
19,IDFdk5,20,84091.000000000000000,75681900.000000000000000,0.036614786833525,0.036989379674196,0.000374592840672,0.036776088512451,0.000114211388469,3092.538059100521423,0.036698643118143,0.036945115774870
20,ESSFmmp,22,75115.000000000000000,67603500.000000000000000,0.001903595868498,0.001932126353495,0.000028530484997,0.001911196516698,0.000005243110147,143.559526351745973,0.001910088118166,0.001916753361002
